Famille;Nom;Energie (kcal/100g);Protéines (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Eau (g/100g);;Portion (g) ;Energie (kcal/portion);Protéines (g/portion);Glucides (g/portion);Lipides (g/portion);Eau (g/portion)
Céréales petit déjeuner et barres céréalières;"Barre céréalière ""équilibre"" au chocolat, enrichie en vitamines et minéraux";397;8,5;75,7;6,5;34,7;5;;40;158,8;3,4;30,28;2,6;2
Céréales petit déjeuner et barres céréalières;"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux";382;8;72,8;6,5;33,1;8,9;;40;152,8;3,2;29,12;2,6;3,56
Céréales petit déjeuner et barres céréalières;Barre céréalière à base de céréales pour petit déjeuner et de lait, enrichie en vitamines et minéraux;436;7;72;13,3;37,7;5;;40;174,4;2,8;28,8;5,32;2
Céréales petit déjeuner et barres céréalières;Barre céréalière aux amandes ou noisettes;451;7;63,2;18,5;27,9;7,5;;40;180,4;2,8;25,28;7,4;3
Céréales petit déjeuner et barres céréalières;Barre céréalière aux fruits;391;6,3;69,4;8,91;28,1;10;;40;156,4;2,52;27,76;3,564;4
Céréales petit déjeuner et barres céréalières;Barre céréalière chocolatée;442;6,27;65,7;16,4;30,8;6,22;;40;176,8;2,508;26,28;6,56;2,488
Céréales petit déjeuner et barres céréalières;Barre céréalière diététique hypocalorique;353;27;33,4;12,4;11,5;9,5;;40;141,2;10,8;13,36;4,96;3,8
Céréales petit déjeuner et barres céréalières;Boules de maïs soufflées au miel, enrichies en vitamines et minéraux;386;5;86,7;1,63;32,8;3;;40;154,4;2;34,68;0,652;1,2
Céréales petit déjeuner et barres céréalières;"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux";401;11,8;72,1;6,47;25,6;4,16;;40;160,4;4,72;28,84;2,588;1,664
Céréales petit déjeuner et barres céréalières;"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux";383;14;73,4;2,7;23,6;3;;40;153,2;5,6;29,36;1,08;1,2
Céréales petit déjeuner et barres céréalières;"Céréales pour petit déjeuner ""équilibre"" nature, enrichies en vitamines et minéraux";382;12,7;78,3;1,33;17;2,81;;40;152,8;5,08;31,32;0,532;1,124
Céréales petit déjeuner et barres céréalières;Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux;391;4,17;83,2;4;31;3,53;;40;156,4;1,668;33,28;1,6;1,412
Céréales petit déjeuner et barres céréalières;Céréales pour petit déjeuner fourrées au chocolat ou chocolat0noisettes, enrichies en vitamines et minéraux;439;8,43;67,2;14,3;30,1;3,6;;40;175,6;3,372;26,88;5,72;1,44
Céréales petit déjeuner et barres céréalières;Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux;423;5,66;64,9;14,5;26,8;8,6;;40;169,2;2,264;25,96;5,8;3,44
Céréales petit déjeuner et barres céréalières;Céréales pour petit déjeuner riches en fibres, enrichies en vitamines et minéraux;362;10,5;64,2;3,7;23,4;3,66;;40;144,8;4,2;25,68;1,48;1,464
Céréales petit déjeuner et barres céréalières;Flocons d'avoine, cuits à l'eau;65,7;1,5;11,5;1,1;0,455;83,9;;40;26,28;0,6;4,6;0,44;33,56
Céréales petit déjeuner et barres céréalières;Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux;389;6,5;84,2;2,08;43;2;;40;155,6;2,6;33,68;0,832;0,8
Céréales petit déjeuner et barres céréalières;Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux;389;8,82;75,5;4,29;44,5;2,66;;40;155,6;3,528;30,2;1,716;1,064
Céréales petit déjeuner et barres céréalières;Muesli croustillant au chocolat, enrichi en vitamines et minéraux;453;8,5;61,6;17,4;24;2,76;;40;181,2;3,4;24,64;6,96;1,104
Céréales petit déjeuner et barres céréalières;Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux;451;7,51;61,5;17,7;29,3;4,03;;40;180,4;3,004;24,6;7,08;1,612
Céréales petit déjeuner et barres céréalières;Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux;374;9;69,4;5,28;24;7,87;;40;149,6;3,6;27,76;2,112;3,148
Céréales petit déjeuner et barres céréalières;Muesli floconneux aux fruits ou fruits secs, sans sucre ajouté;378;11,3;61,8;7,63;16;9,18;;40;151,2;4,52;24,72;3,052;3,672
Céréales petit déjeuner et barres céréalières;Multi0céréales soufflées ou extrudées, enrichies en vitamines et minéraux;415;7,5;75;8,75;28,5;3;;40;166;3;30;3,5;1,2
Céréales petit déjeuner et barres céréalières;Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux;389;10,4;67,3;6,74;20,8;5;;40;155,6;4,16;26,92;2,696;2
Céréales petit déjeuner et barres céréalières;Pétales de blé chocolatés, enrichis en vitamines et minéraux;390;4,5;83,7;3,12;37;2,35;;40;156;1,8;33,48;1,248;0,94
Céréales petit déjeuner et barres céréalières;Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux;381;6;85,5;1,16;37,2;3,3;;40;152,4;2,4;34,2;0,464;1,32
Céréales petit déjeuner et barres céréalières;Pétales de maïs natures, enrichis en vitamines et minéraux;378;7,5;83,7;0,764;8;2,98;;40;151,2;3;33,48;0,3056;1,192
Céréales petit déjeuner et barres céréalières;Riz soufflé au chocolat, enrichi en vitamines et minéraux;395;5,26;83,7;3,8;34,8;2,78;;40;158;2,104;33,48;1,52;1,112
Céréales petit déjeuner et barres céréalières;Riz soufflé nature, enrichi en vitamines et minéraux;387;6,68;86,3;1,23;8,2;2,24;;40;154,8;2,672;34,52;0,492;0,896
Charcuteries et salaisons;Andouille;221;18,4;0,3;16,2;0;60,5;;100;221;18,4;0,3;16,2;60,5
Charcuteries et salaisons;Andouille, réchauffée à la poêle;270;22,5;0;20;0;55,5;;100;270;22,5;0;20;55,5
Charcuteries et salaisons;Andouillette, poêlée;276;24,5;1;19,3;0,2;48,7;;100;276;24,5;1;19,3;48,7
Charcuteries et salaisons;Bloc de foie gras de canard, appertisé;511;9;0,85;52,4;0;36,1;;100;511;9;0,85;52,4;36,1
Charcuteries et salaisons;Boudin blanc, poêlé;226;10,1;5,63;18,1;0;61,4;;100;226;10,1;5,63;18,1;61,4
Charcuteries et salaisons;Boudin noir, poêlé;261;14,8;1,8;21,6;1,29;53,9;;100;261;14,8;1,8;21,6;53,9
Charcuteries et salaisons;Cervelas;292;12;1,3;26,5;0;61,1;;100;292;12;1,3;26,5;61,1
Charcuteries et salaisons;Chipolata, cuite;338;19;8,38;25,4;0;45,8;;100;338;19;8,38;25,4;45,8
Charcuteries et salaisons;Chorizo;477;21,1;3,5;42,1;1,15;26,3;;100;477;21,1;3,5;42,1;26,3
Charcuteries et salaisons;Confit de canard;217;30,7;0;10,5;0;57,3;;100;217;30,7;0;10,5;57,3
Charcuteries et salaisons;Coppa;232;23,9;0,2;15,1;0,2;51,9;;100;232;23,9;0,2;15,1;51,9
Charcuteries et salaisons;Filet de bacon, cuit;116;23;0,7;2,3;0;68,2;;100;116;23;0,7;2,3;68,2
Charcuteries et salaisons;Foie gras de canard, appertisé ou pasteurisé;485;6,9;1,6;50,1;0;36,5;;100;485;6,9;1,6;50,1;36,5
Charcuteries et salaisons;Fromage de tête;168;14,7;0,2;12;0,3;66,5;;100;168;14,7;0,2;12;66,5
Charcuteries et salaisons;Galantine;239;15,9;6,52;16,5;0;58,4;;100;239;15,9;6,52;16,5;58,4
Charcuteries et salaisons;Jambon cru;232;21,1;0,45;16,2;0,9;51,4;;100;232;21,1;0,45;16,2;51,4
Charcuteries et salaisons;Jambon cru, fumé;225;24;0,1;14,3;0;52,6;;100;225;24;0,1;14,3;52,6
Charcuteries et salaisons;Jambon cuit;121;17,9;1,26;4,93;1,26;73;;100;121;17,9;1,26;4,93;73
Charcuteries et salaisons;Jambon cuit supérieur;114;21,1;0,6;3,02;0,2;73,4;;100;114;21,1;0,6;3,02;73,4
Charcuteries et salaisons;Jambon cuit supérieur, DD;114;20,9;0,425;3,15;1;73,1;;100;114;20,9;0,425;3,15;73,1
Charcuteries et salaisons;Jambon cuit, de Paris, DD;107;18;1,8;3,12;0,55;73,2;;100;107;18;1,8;3,12;73,2
Charcuteries et salaisons;Jambon cuit, fumé;101;19;0,45;2,59;0,367;71,7;;100;101;19;0,45;2,59;71,7
Charcuteries et salaisons;Jambon de volaille;107;21,4;0,5;2,14;0,462;72,7;;100;107;21,4;0,5;2,14;72,7
Charcuteries et salaisons;Jambon en croûte;246;14,5;14,8;14,2;1,58;52,2;;100;246;14,5;14,8;14,2;52,2
Charcuteries et salaisons;Jambon sec, découenné, dégraissé;195;26,6;1,77;9,07;0,3;54,8;;100;195;26,6;1,77;9,07;54,8
Charcuteries et salaisons;Jambonneau, cuit;144;20,6;1,1;6,41;0,757;72,2;;100;144;20,6;1,1;6,41;72,2
Charcuteries et salaisons;Lardon fumé, cru;264;16,4;0,6;21,8;0,46;57,6;;100;264;16,4;0,6;21,8;57,6
Charcuteries et salaisons;Lardon fumé, cuit;258;14,7;0;22,1;0;61,7;;100;258;14,7;0;22,1;61,7
Charcuteries et salaisons;Lardon nature, cru;266;15,4;0,4;22,5;0,4;55,4;;100;266;15,4;0,4;22,5;55,4
Charcuteries et salaisons;Lardon nature, cuit;329;23,8;2;25,1;0;45;;100;329;23,8;2;25,1;45
Charcuteries et salaisons;Merguez, boeuf et mouton, cuite;283;19,8;0,215;22,6;1,22;52,4;;100;283;19,8;0,215;22,6;52,4
Charcuteries et salaisons;Mortadelle;313;14,1;1,4;27,9;0;55,1;;100;313;14,1;1,4;27,9;55,1
Charcuteries et salaisons;Mousse de foie;317;10,5;3,62;28,9;2,53;54,1;;100;317;10,5;3,62;28,9;54,1
Charcuteries et salaisons;Museau de porc vinaigrette;281;14,4;0,8;24,5;0;57,3;;100;281;14,4;0,8;24,5;57,3
Charcuteries et salaisons;Pancetta ou Poitrine roulée sèche;355;21,3;0,35;29,8;0,1;44,7;;100;355;21,3;0,35;29,8;44,7
Charcuteries et salaisons;Pâté de campagne;333;14,7;3,47;28,9;0,88;53,7;;100;333;14,7;3,47;28,9;53,7
Charcuteries et salaisons;Pâté de foie de porc;346;10,6;2,3;32,7;0;51,2;;100;346;10,6;2,3;32,7;51,2
Charcuteries et salaisons;Pâté de foie de volaille;234;11,9;6;18;0;60,2;;100;234;11,9;6;18;60,2
Charcuteries et salaisons;Pâté de lapin;274;14,8;2;23;2;62,1;;100;274;14,8;2;23;62,1
Charcuteries et salaisons;Pâté en croûte;270;11,9;11,8;19,7;1,2;47,8;;100;270;11,9;11,8;19,7;47,8
Charcuteries et salaisons;Poitrine de porc, fumée, crue;312;16,5;0;27,3;0,6;54,1;;100;312;16,5;0;27,3;54,1
Charcuteries et salaisons;Quenelle au naturel, appertisée;199;4,9;9,33;15,7;0;68,9;;100;199;4,9;9,33;15,7;68,9
Charcuteries et salaisons;Quenelle de volaille, appertisée;185;6,8;9,93;13;1;67,9;;100;185;6,8;9,93;13;67,9
Charcuteries et salaisons;Quenelle en sauce, appertisée;151;3,6;8,54;11,3;0;75,3;;100;151;3,6;8,54;11,3;75,3
Charcuteries et salaisons;Rillettes de viandes autres que pur porc (volaille...);424;15,1;0,117;40,3;0,1;43,2;;100;424;15,1;0,117;40,3;43,2
Charcuteries et salaisons;Rillettes pur porc;410;14,2;0,1;39,2;0,1;44,3;;100;410;14,2;0,1;39,2;44,3
Charcuteries et salaisons;Rillettes traditionnelles de porc;417;14,3;0,1;39,9;0,1;40,5;;100;417;14,3;0,1;39,9;40,5
Charcuteries et salaisons;Rosette ou Fuseau;402;24,9;2;32,7;0,3;39;;100;402;24,9;2;32,7;39
Charcuteries et salaisons;Salami;482;18,1;1,23;45;1,23;31,6;;100;482;18,1;1,23;45;31,6
Charcuteries et salaisons;Saucisse alsacienne fumée ou Gendarme;351;21;3,31;28,2;0;44,1;;100;351;21;3,31;28,2;44,1
Charcuteries et salaisons;Saucisse cocktail;299;12,7;1,35;27;0;56,8;;100;299;12,7;1,35;27;56,8
Charcuteries et salaisons;Saucisse de Francfort;293;12,1;1,15;26,7;0,151;56,7;;100;293;12,1;1,15;26,7;56,7
Charcuteries et salaisons;Saucisse de Montbéliard;325;15,7;0,7;28,8;0;50,5;;100;325;15,7;0,7;28,8;50,5
Charcuteries et salaisons;Saucisse de Morteau, cuite à l'eau;333;15,2;0;30,2;0;51,7;;100;333;15,2;0;30,2;51,7
Charcuteries et salaisons;Saucisse de Strasbourg;287;12,5;1;25,9;0,516;57;;100;287;12,5;1;25,9;57
Charcuteries et salaisons;Saucisse de Toulouse, cuite;311;18,8;1,1;25,7;0,6;54,9;;100;311;18,8;1,1;25,7;54,9
Charcuteries et salaisons;Saucisson à l'ail;286;14,6;0,7;25;0;54,8;;100;286;14,6;0,7;25;54,8
Charcuteries et salaisons;Saucisson sec;410;26,5;1,23;33,2;0,1;30,1;;100;410;26,5;1,23;33,2;30,1
Charcuteries et salaisons;Saucisson sec pur porc;405;26,2;1,9;32,9;1,9;35;;100;405;26,2;1,9;32,9;35
Charcuteries et salaisons;Terrine de canard;310;15,2;3,53;26,1;0;52,8;;100;310;15,2;3,53;26,1;52,8
Charcuteries et salaisons;Viande des Grisons;201;37,4;0,62;5,47;0,3;53,5;;100;201;37,4;0,62;5,47;53,5
Confitures;Confiture allégée en sucre, tout type;180;0,493;43,6;0,2;43,6;54,2;;30;54;0,1479;13,08;0,06;16,26
Confitures;Confiture d'abricot;232;0,3;56,6;0,25;53,4;41,1;;30;69,6;0,09;16,98;0,075;12,33
Confitures;Confiture de cerise;245;0,47;59,9;0,22;54,5;38;;30;73,5;0,141;17,97;0,066;11,4
Confitures;Confiture de fraise;262;0,4;64;0,7;60;37,3;;30;78,6;0,12;19,2;0,21;11,19
Confitures;Confiture de framboise;246;0,5;58,6;0,6;50,8;38,4;;30;73,8;0,15;17,58;0,18;11,52
Confitures;Confiture de myrtilles;250;0,4;60,5;0,25;57,1;36,7;;30;75;0,12;18,15;0,075;11,01
Confitures;Confiture ou Marmelade d'orange;241;0,3;58,7;0,25;49,2;39;;30;72,3;0,09;17,61;0,075;11,7
Confitures;Préparation de fruits;182;0,66;43,4;0,253;0;53,6;;30;54,6;0,198;13,02;0,0759;16,08
Desserts lactés frais ou UHT;Crème anglaise;110;2,76;17,7;3,17;13,5;75,6;;100;110;2,76;17,7;3,17;75,6
Desserts lactés frais ou UHT;Crème brûlée;300;4,33;16,2;24,3;15,4;54,6;;100;300;4,33;16,2;24,3;54,6
Desserts lactés frais ou UHT;Crème caramel;136;4,41;23,6;2,67;20;68,4;;100;136;4,41;23,6;2,67;68,4
Desserts lactés frais ou UHT;Crème chantilly sous pression, UHT;285;2,26;9,56;26,4;8;61,3;;100;285;2,26;9,56;26,4;61,3
Desserts lactés frais ou UHT;Crème dessert à la vanille, appertisée;123;3,5;16,7;4,6;14,4;74;;100;123;3,5;16,7;4,6;74
Desserts lactés frais ou UHT;Crème dessert à la vanille, rayon frais;127;3,64;19,3;4;15,4;71,2;;100;127;3,64;19,3;4;71,2
Desserts lactés frais ou UHT;Crème dessert allégée en matière grasse, rayon frais;87,5;3,8;16,7;0,679;12,5;78;;100;87,5;3,8;16,7;0,679;78
Desserts lactés frais ou UHT;Crème dessert au chocolat, appertisée;141;3,8;22,9;3,65;16,8;67,6;;100;141;3,8;22,9;3,65;67,6
Desserts lactés frais ou UHT;Crème dessert au chocolat, rayon frais;137;4,1;19,5;5,07;16,3;71,2;;100;137;4,1;19,5;5,07;71,2
Desserts lactés frais ou UHT;Crème dessert aux oeufs ou crème renversée;175;4,47;22,8;7,41;18,7;64,6;;100;175;4,47;22,8;7,41;64,6
Desserts lactés frais ou UHT;Crème pâtissière;118;2,9;22,8;1,7;16,5;72,1;;100;118;2,9;22,8;1,7;72,1
Desserts lactés frais ou UHT;Ile flottante;138;4,67;21,3;3,76;19,3;69,7;;100;138;4,67;21,3;3,76;69,7
Desserts lactés frais ou UHT;Lait de poule, sans alcool;92,6;3,8;10,2;4,1;8,4;81,2;;100;92,6;3,8;10,2;4,1;81,2
Desserts lactés frais ou UHT;Lait gélifié aromatisé chocolat, rayon frais;144;3,18;26;3,1;21,3;66,9;;100;144;3,18;26;3,1;66,9
Desserts lactés frais ou UHT;Lait gélifié aromatisé nappé de caramel, rayon frais;116;2,97;21,6;1,88;19,4;72,6;;100;116;2,97;21,6;1,88;72,6
Desserts lactés frais ou UHT;Milk0shake, tout parfum;109;3,5;19,7;1,8;17,1;73,9;;100;109;3,5;19,7;1,8;73,9
Desserts lactés frais ou UHT;Viennois ou liégeois, chocolat, café, caramel ou vanille, rayon frais;155;3,3;15,9;8,76;14;71,2;;100;155;3,3;15,9;8,76;71,2
Eaux;Eau minérale;0;0;0;0;0;100;;100;0;0;0;0;100
Entremets et glaces;Barre chocolatée glacée;355;6,21;38,1;19,6;24,4;33,7;;100;355;6,21;38,1;19,6;33,7
Entremets et glaces;Clafoutis aux fruits;212;5;31,1;7,45;20,5;54,6;;100;212;5;31,1;7,45;54,6
Entremets et glaces;Crème glacée;184;3,58;19,7;10,1;19,7;65,5;;100;184;3,58;19,7;10,1;65,5
Entremets et glaces;Crème glacée au chocolat;192;4,08;17,5;10,8;15,7;62,5;;100;192;4,08;17,5;10,8;62,5
Entremets et glaces;Dessert fermenté au soja, aux fruits, enrichi en vitamines et/ou minéraux, rayon frais;85,7;3,41;12,8;2,17;9,63;80,9;;100;85,7;3,41;12,8;2,17;80,9
Entremets et glaces;Dessert fermenté au soja, nature, rayon frais;53,2;4,27;2,59;2,68;1,5;90,1;;100;53,2;4,27;2,59;2,68;90,1
Entremets et glaces;Dessert soja aromatisé, rayon frais;114;2,87;21,3;1,75;9,42;73,3;;100;114;2,87;21,3;1,75;73,3
Entremets et glaces;Gâteau de riz nappé de caramel, rayon frais;146;3,57;25,2;3,31;17,8;66,7;;100;146;3,57;25,2;3,31;66,7
Entremets et glaces;Gâteau de semoule, appertisé;142;3,68;24,1;3,21;16,7;67,5;;100;142;3,68;24,1;3,21;67,5
Entremets et glaces;Glace en cornet;278;4,15;33,1;14,2;21,8;46,5;;100;278;4,15;33,1;14,2;46,5
Entremets et glaces;Glace sur bâtonnet, enrobée de chocolat;264;2,2;31,7;14,2;24,7;49,6;;100;264;2,2;31,7;14,2;49,6
Entremets et glaces;Mousse à la crème de marrons;244;2,31;37,9;9,06;0;49,4;;100;244;2,31;37,9;9,06;49,4
Entremets et glaces;Mousse au chocolat, rayon frais;164;5,34;18,2;7,7;17,2;67,3;;100;164;5,34;18,2;7,7;67,3
Entremets et glaces;Mousse aux fruits;149;2,59;16,9;7,85;13,6;73,5;;100;149;2,59;16,9;7,85;73,5
Entremets et glaces;Omelette norvégienne;286;4,42;41,2;11,3;35,2;41,5;;100;286;4,42;41,2;11,3;41,5
Entremets et glaces;Pain perdu;234;6,28;31,2;9;14,1;51;;100;234;6,28;31,2;9;51
Entremets et glaces;Pêche melba;119;2,05;18,8;3,62;18,2;73,5;;100;119;2,05;18,8;3,62;73,5
Entremets et glaces;Poire belle Hélène;196;2,92;23,3;9,57;21;60,7;;100;196;2,92;23,3;9,57;60,7
Entremets et glaces;Profiterole avec glace vanille et sauce chocolat;208;4,63;24,8;9,9;14,9;58,9;;100;208;4,63;24,8;9,9;58,9
Entremets et glaces;Riz au lait, rayon frais;124;3,2;20,7;3,08;12,7;72;;100;124;3,2;20,7;3,08;72
Entremets et glaces;Semoule au lait, rayon frais;125;3,38;18,6;3,24;11,3;70,3;;100;125;3,38;18,6;3,24;70,3
Entremets et glaces;Sorbet;123;0,795;26;1,55;26;69,8;;100;123;0,795;26;1,55;69,8
Entremets et glaces;Tiramisu;280;3,82;37,5;12,5;21,1;44;;100;280;3,82;37,5;12,5;44
Fromages affinés à pâte dure;Beaufort;393;26,6;3,71;30,3;0;34,3;;70;275,1;18,62;2,597;21,21;24,01
Fromages affinés à pâte dure;Comté;417;28,1;0;34;0;31,5;;70;291,9;19,67;0;23,8;22,05
Fromages affinés à pâte dure;Emmental;367;28,2;0;28,3;0;37,5;;70;256,9;19,74;0;19,81;26,25
Fromages affinés à pâte dure;Emmental râpé;381;27,8;0,05;30;0,05;38,1;;70;266,7;19,46;0,035;21;26,67
Fromages affinés à pâte dure;Fromâge à pate pressée cuite type Emmental, allégé;291;33,2;2;17;1,9;47;;70;203,7;23,24;1,4;11,9;32,9
Fromages affinés à pâte dure;Gruyère;414;27,2;1,4;33,4;0,36;33,3;;70;289,8;19,04;0,98;23,38;23,31
Fromages affinés à pâte dure;Parmesan;441;39,4;1,87;30,9;0,4;22,7;;70;308,7;27,58;1,309;21,63;15,89
Fromages affinés à pâte ferme;Cantal, Salers ou Laguiole;371;24,7;0,184;30,3;0;40,5;;70;259,7;17,29;0,1288;21,21;28,35
Fromages affinés à pâte ferme;Cheddar;403;25,5;0,5;33,4;0,5;36;;70;282,1;17,85;0,35;23,38;25,2
Fromages affinés à pâte ferme;Edam;312;32,6;0;20,5;0;43,9;;70;218,4;22,82;0;14,35;30,73
Fromages affinés à pâte ferme;Gouda;363;24;0;29,9;0;38,6;;70;254,1;16,8;0;20,93;27,02
