Famille;Nom;Energie (kcal/100g);Protéines (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Eau (g/100g);;Portion (g) ;Energie (kcal/portion);Protéines (g/portion);Glucides (g/portion);Lipides (g/portion);Eau (g/portion)
Pommes de terre et apparentés;Pomme de terre de conservation, cuite à l'eau, sans peau;73,2;1,97;15;0,1;0;79,6;;150;109,8;2,955;22,5;0,15;119,4
Pommes de terre et apparentés;Pomme de terre frite ou Frite, cuite, non salée;254;4,6;30;12;0;47,4;;150;381;6,9;45;18;71,1
Pommes de terre et apparentés;Pomme de terre frite ou Frite, surgelée, cuite, non salée;232;3,49;26,6;11,7;0,637;53,9;;150;348;5,235;39,9;17,55;80,85
Pommes de terre et apparentés;Pomme de terre noisette, précuite, surgelée;172;3,6;20,7;7,44;0;62,7;;150;258;5,4;31,05;11,16;94,05
Pommes de terre et apparentés;Pomme de terre primeur, cuite à l'eau, sans peau;87,7;1,84;18,8;0,1;0;79,8;;150;131,55;2,76;28,2;0,15;119,7
Pommes de terre et apparentés;Pomme de terre, chips salées;487;6,5;52,9;27;1,09;2,29;;150;730,5;9,75;79,35;40,5;3,435
Pommes de terre et apparentés;Pomme de terre, cuite à l'eau;75,2;2;15,8;0,22;0,51;78,9;;150;112,8;3;23,7;0,33;118,35
Pommes de terre et apparentés;Pomme de terre, flocons déshydratés au lait;350;10,9;65,8;3,02;3,24;8,07;;150;525;16,35;98,7;4,53;12,105
Pommes de terre et apparentés;Pomme de terre, purée à base de flocons, reconstituée avec lait demi0écrémé et eau, non salée;77,1;2,4;14,6;0,515;1,3;79,5;;150;115,65;3,6;21,9;0,7725;119,25
Pommes de terre et apparentés;Pomme de terre, purée, avec lait et beurre, non salée;91,3;2;12,6;3,35;0,885;79,2;;150;136,95;3;18,9;5,025;118,8
Pommes de terre et apparentés;Pomme de terre, rissolée, surgelée;164;2,7;27,4;4,25;0,49;61;;150;246;4,05;41,1;6,375;91,5
Pommes de terre et apparentés;Pomme de terre, sans peau, cuite au four;91,7;1,96;20;0,1;1,7;75,4;;150;137,55;2,94;30;0,15;113,1
Produits à base de crustacés et mollusques;Crabe, appertisé;78,1;18,1;0,3;0,5;0;79,2;;120;93,72;21,72;0,36;0,6;95,04
Produits à base de crustacés et mollusques;Langoustine, panée, frite;262;9,4;25,2;13,6;0;49,8;;120;314,4;11,28;30,24;16,32;59,76
Produits à base de poissons;Anchois commun, mariné;136;23,9;2,7;3,26;2,7;60,2;;120;163,2;28,68;3,24;3,912;72,24
Produits à base de poissons;Anchois, filets à l'huile, semi0conserve, égoutté;182;26,4;0;8,45;0,2;55,1;;120;218,4;31,68;0;10,14;66,12
Produits à base de poissons;Caviar, semi0conserve;178;25;2,5;7,52;0;61;;120;213,6;30;3;9,024;73,2
Produits à base de poissons;Églefin, pané, frit;198;14,7;12;10;0;59,9;;120;237,6;17,64;14,4;12;71,88
Produits à base de poissons;Foie de morue, appertisé, égoutté;419;4,85;0;44,4;0;45,7;;120;502,8;5,82;0;53,28;54,84
Produits à base de poissons;Haddock (fumé) ou Églefin fumé;81,4;19;0;0,6;0;78,3;;120;97,68;22,8;0;0,72;93,96
Produits à base de poissons;Hareng fumé;142;16,5;0;8,49;0;68,3;;120;170,4;19,8;0;10,188;81,96
Produits à base de poissons;Hareng fumé, à l'huile;194;15,1;0;14,8;0;62,6;;120;232,8;18,12;0;17,76;75,12
Produits à base de poissons;Hareng mariné ou rollmops;199;16,5;2,7;13,6;2,01;61,2;;120;238,8;19,8;3,24;16,32;73,44
Produits à base de poissons;Limande0sole, panée, frite;230;16;9,6;14;0;60,5;;120;276;19,2;11,52;16,8;72,6
Produits à base de poissons;Maquereau fumé;250;20,5;0;18,7;0;59;;120;300;24,6;0;22,44;70,8
Produits à base de poissons;Maquereau, filet au vin blanc, appertisé, égoutté;206;18,9;0;14,5;0;64,5;;120;247,2;22,68;0;17,4;77,4
Produits à base de poissons;Maquereau, filet sauce moutarde, appertisé, égoutté;210;16,9;1,5;15,2;1,5;64,3;;120;252;20,28;1,8;18,24;77,16
Produits à base de poissons;Maquereau, filet sauce tomate, appertisé, égoutté;207;16,4;0;15,7;0;67,9;;120;248,4;19,68;0;18,84;81,48
Produits à base de poissons;Morue, salée, pochée;113;26;0;1,01;0;67,4;;120;135,6;31,2;0;1,212;80,88
Produits à base de poissons;Mousse de poisson;185;13;2,79;13,5;0;65,9;;120;222;15,6;3,348;16,2;79,08
Produits à base de poissons;Oeufs de lompe, semi0conserve;144;19,2;0;7,52;0;68,4;;120;172,8;23,04;0;9,024;82,08
Produits à base de poissons;Pâté à base de poisson ou de crustacés;248;10,8;3,5;21,2;0;60,8;;120;297,6;12,96;4,2;25,44;72,96
Produits à base de poissons;Pilchard, sauce tomate, appertisé, égoutté;140;16,7;0;8,1;0;70,2;;120;168;20,04;0;9,72;84,24
Produits à base de poissons;Poisson en sauce, surgelé;110;10,6;3,61;5,82;0;76,4;;120;132;12,72;4,332;6,984;91,68
Produits à base de poissons;Poisson, croquette, frit;254;13,2;18;14;0;52,1;;120;304,8;15,84;21,6;16,8;62,52
Produits à base de poissons;Rillettes de saumon;231;13,6;3,4;18,1;3,4;62,8;;120;277,2;16,32;4,08;21,72;75,36
Produits à base de poissons;Rillettes de thon;223;15,6;1,7;17,1;1,7;63,5;;120;267,6;18,72;2,04;20,52;76,2
Produits à base de poissons;Sardine, à l'huile d'olive, conserve, égouttée;198;24,3;0;11,2;0;60,1;;120;237,6;29,16;0;13,44;72,12
Produits à base de poissons;Sardine, à l'huile, appertisée, égouttée;222;26,4;0;12,9;0;55,8;;120;266,4;31,68;0;15,48;66,96
Produits à base de poissons;Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés;246;24,9;0;16,3;0;60,5;;120;295,2;29,88;0;19,56;72,6
Produits à base de poissons;Sardine, sauce tomate, appertisée, égouttée;156;15,8;0;10,3;0;68,2;;120;187,2;18,96;0;12,36;81,84
Produits à base de poissons;Saumon fumé;169;21,8;0;9,11;0;64,8;;120;202,8;26,16;0;10,932;77,76
Produits à base de poissons;Surimi, bâtonnets;101;8,65;11,8;2,15;0;73,8;;120;121,2;10,38;14,16;2,58;88,56
Produits à base de poissons;Tarama préemballé;544;6,92;10;52,9;0;29,3;;120;652,8;8,304;12;63,48;35,16
Produits à base de poissons;Terrine de poisson;252;10;5,5;21,1;1,5;66,3;;120;302,4;12;6,6;25,32;79,56
Produits à base de poissons;Thon à l'huile, appertisé, égoutté;231;25,8;0;14,2;0;57,9;;120;277,2;30,96;0;17,04;69,48
Produits à base de poissons;Thon albacore, au naturel, appertisé, égoutté;115;26,4;0;1,04;0;70,4;;120;138;31,68;0;1,248;84,48
Produits à base de poissons;Thon germon ou thon blanc à l'huile de soja, appertisé, égoutté;186;30,4;0;7,1;0;61,3;;120;223,2;36,48;0;8,52;73,56
Produits à base de poissons;Thon germon ou Thon blanc, à l'huile d'olive, appertisé, égoutté;199;31,3;0;8,18;0;60,8;;120;238,8;37,56;0;9,816;72,96
Produits à base de poissons;Thon germon ou thon blanc, cuit vapeur sous pression;167;30;0;5,24;0;64;;120;200,4;36;0;6,288;76,8
Produits à base de poissons;Thon, au naturel, appertisé, égoutté;106;24,5;0;0,858;0;72,2;;120;127,2;29,4;0;1,0296;86,64
Produits à base de poissons;Truite d'élevage, fumée;171;23,4;0;8,65;0,9;61,7;;120;205,2;28,08;0;10,38;74,04
Riz et autres graines;Blé dur précuit, grains entiers, cuit;155;5,1;30,4;0,66;0,6;60,7;;120;186;6,12;36,48;0,792;72,84
Riz et autres graines;Frik (blé dur immature concassé), cuit;75,9;2,1;13,9;0,48;0;79,6;;120;91,08;2,52;16,68;0,576;95,52
Riz et autres graines;Frik (blé dur immature concassé), sec;324;9,11;56,7;2,17;0;11;;120;388,8;10,932;68,04;2,604;13,2
Riz et autres graines;Riz blanc étuvé, cuit;151;2,91;31,1;1,44;0,055;63,5;;120;181,2;3,492;37,32;1,728;76,2
Riz et autres graines;Riz blanc, cuit;135;2,49;28,7;0,927;0,09;66,5;;120;162;2,988;34,44;1,1124;79,8
Riz et autres graines;Riz complet, cuit;156;3,5;31,7;1,1;0,45;61;;120;187,2;4,2;38,04;1,32;73,2
Riz et autres graines;Riz complet, sec;354;6,85;73,3;2,8;0,657;12,3;;120;424,8;8,22;87,96;3,36;14,76
Riz et autres graines;Riz rouge, cuit;141;3,4;28,2;0,69;0;63,1;;120;169,2;4,08;33,84;0,828;75,72
Riz et autres graines;Riz rouge, sec;352;8;70,6;3;0;12,4;;120;422,4;9,6;84,72;3,6;14,88
Riz et autres graines;Riz sauvage, cuit;200;6,5;40,3;0,58;0,73;48,8;;120;240;7,8;48,36;0,696;58,56
Riz et autres graines;Riz sauvage, sec;344;11,1;69,3;0,94;2,5;11,5;;120;412,8;13,32;83,16;1,128;13,8
Soupes et bouillons non reconstitués;Bouillon de boeuf, déshydraté;243;10,2;20,6;13,3;0;3,29;;250;607,5;25,5;51,5;33,25;8,225
Soupes et bouillons non reconstitués;Bouillon de légumes, déshydraté;264;9,66;20,3;16;0;4,4;;250;660;24,15;50,75;40;11
Soupes prêtes à consommer;Soupe à la tomate, préemballée à réchauffer ou déshydratée reconstituée;46;1,69;7,5;0,917;3;90,1;;250;115;4,225;18,75;2,2925;225,25
Soupes prêtes à consommer;Soupe à la volaille et aux vermicelles, préemballée à réchauffer ou déshydratée reconstituée;16,7;1,27;2,28;0,215;0,2;95;;250;41,75;3,175;5,7;0,5375;237,5
Soupes prêtes à consommer;Soupe à l'oignon, tout type;22;0,603;3,28;0,648;1,33;94,1;;250;55;1,5075;8,2;1,62;235,25
Soupes prêtes à consommer;Soupe au pistou, préemballée à réchauffer ou déshydratée reconstituée;47,2;1,7;7,08;1,17;0,7;88,2;;250;118;4,25;17,7;2,925;220,5
Soupes prêtes à consommer;Soupe au potiron, tout type;35,7;0,68;4,23;1,58;2,4;91,8;;250;89,25;1,7;10,575;3,95;229,5
Soupes prêtes à consommer;Soupe aux lentilles, tout type;49,4;1,8;9,21;0,2;0,7;85,7;;250;123,5;4,5;23,025;0,5;214,25
Soupes prêtes à consommer;Soupe aux poireaux et pommes de terre;27,9;0,98;5,24;0,13;0,6;91,9;;250;69,75;2,45;13,1;0,325;229,75
Soupes prêtes à consommer;Soupe aux poireaux et pommes de terre, préemballée à réchauffer;34,1;0,98;4,59;1,11;0;91,6;;250;85,25;2,45;11,475;2,775;229
Soupes prêtes à consommer;Soupe cuisinée aux champignons, tout type;35,1;0,79;2,15;2,28;0,72;92,3;;250;87,75;1,975;5,375;5,7;230,75
Soupes prêtes à consommer;Soupe de légumes, déshydratée reconstituée;32,4;0,8;2,49;1,99;0,485;93;;250;81;2;6,225;4,975;232,5
Soupes prêtes à consommer;Soupe de légumes, préemballée à réchauffer;34,5;1,79;3,03;1,37;0,899;91,4;;250;86,25;4,475;7,575;3,425;228,5
Soupes prêtes à consommer;Soupe de légumes, tout type;24,5;0,86;3,87;0,305;2,7;92,6;;250;61,25;2,15;9,675;0,7625;231,5
Soupes prêtes à consommer;Soupe de poissons et/ou crustacés, préemballée à réchauffer;55,5;3,6;5,69;1,89;1,15;85,8;;250;138,75;9;14,225;4,725;214,5
Soupes prêtes à consommer;Soupe exotique chinoise;39,8;6,15;1,38;1,04;0,704;88,9;;250;99,5;15,375;3,45;2,6;222,25
Soupes prêtes à consommer;Soupe minestrone, préemballée à réchauffer ou déshydratée reconstituée;32,6;1,95;4,8;0,4;0,7;90,9;;250;81,5;4,875;12;1;227,25
Viandes;Agneau, collier, cru;184;16,4;0;13,2;0;68;;150;276;24,6;0;19,8;102
Viandes;Agneau, côte filet, crue;232;16,3;0;18,5;0;62,5;;150;348;24,45;0;27,75;93,75
Viandes;Agneau, côte première, crue;271;15,5;0;23,2;0;58,9;;150;406,5;23,25;0;34,8;88,35
Viandes;Agneau, côtelette, grillée;234;25,7;0;14,6;0;60,6;;150;351;38,55;0;21,9;90,9
Viandes;Agneau, épaule, maigre, rôtie;187;22,3;0;10,9;0;65;;150;280,5;33,45;0;16,35;97,5
Viandes;Agneau, épaule, rôtie;287;30,5;0;18,3;0;53,7;;150;430,5;45,75;0;27,45;80,55
Viandes;Agneau, gigot, cru;128;17,8;0;6,29;0;73,5;;150;192;26,7;0;9,435;110,25
Viandes;Agneau, gigot, rôti;193;23,8;0;10,9;0;67,1;;150;289,5;35,7;0;16,35;100,65
Viandes;Agneau, selle, crue;215;16,2;0;16,7;0;64,7;;150;322,5;24,3;0;25,05;97,05
Viandes;Boeuf, à bourguignon, cuit;156;30;0;4,05;0;61,1;;150;234;45;0;6,075;91,65
Viandes;Boeuf, à pot0au0feu, cuit;240;28,5;0;14;0;56,5;;150;360;42,75;0;21;84,75
Viandes;Boeuf, bavette, crue;103;18,3;0;3,27;0;73,7;;150;154,5;27,45;0;4,905;110,55
Viandes;Boeuf, bifteck, grillé;149;27,6;0;4,28;0;69,1;;150;223,5;41,4;0;6,42;103,65
Viandes;Boeuf, braisé;240;32,1;0;12,4;0;55,7;;150;360;48,15;0;18,6;83,55
Viandes;Boeuf, entrecôte, crue;227;18,4;0;17;0;62,5;;150;340,5;27,6;0;25,5;93,75
Viandes;Boeuf, entrecôte, grillée;192;22;0;11,5;0;62;;150;288;33;0;17,25;93
Viandes;Boeuf, faux0filet, cru;117;21,6;0;3,37;0;71,5;;150;175,5;32,4;0;5,055;107,25
Viandes;Boeuf, faux0filet, grillé;170;23;0;8,7;0;64;;150;255;34,5;0;13,05;96
Viandes;Boeuf, flanchet, cuit;194;27,6;0;9,31;0;63,3;;150;291;41,4;0;13,965;94,95
Viandes;Boeuf, hampe, crue;150;18;0;8,62;0;71,5;;150;225;27;0;12,93;107,25
Viandes;Boeuf, joue, crue;112;20;0;3,56;0;73,2;;150;168;30;0;5,34;109,8
Viandes;Boeuf, macreuse, crue;109;19,5;0;3,49;0;74,5;;150;163,5;29,25;0;5,235;111,75
Viandes;Boeuf, paleron, cru;139;20,1;0;6,53;0;72,3;;150;208,5;30,15;0;9,795;108,45
Viandes;Boeuf, plat de côtes, cru;283;17,4;0;23,7;0;58,1;;150;424,5;26,1;0;35,55;87,15
Viandes;Boeuf, rosbif, rôti;140;26,4;0;3,78;0;66,5;;150;210;39,6;0;5,67;99,75
Viandes;Boeuf, tende de tranche, crue;116;20,6;0;3,69;0;74,7;;150;174;30,9;0;5,535;112,05
Viandes;Cheval, entrecôte muscle, cru;118;22,1;0;3,34;0;71,5;;150;177;33,15;0;5,01;107,25
Viandes;Cheval, faux0filet, cru;121;22,2;0;3,58;0;71,5;;150;181,5;33,3;0;5,37;107,25
Viandes;Cheval, tende de tranche, crue;106;22,7;0;1,68;0;71,5;;150;159;34,05;0;2,52;107,25
Viandes;Cheval, viande, rôtie;160;28,1;0;5,29;0,2;64,4;;150;240;42,15;0;7,935;96,6
Viandes;Chevreuil, rôti;174;32,6;0;4,8;0;65;;150;261;48,9;0;7,2;97,5
Viandes;Lapin braisé;197;30,4;0;8,41;0;58,8;;150;295,5;45,6;0;12,615;88,2
Viandes;Lapin, viande cuite;165;20,5;0;9,2;0;68,2;;150;247,5;30,75;0;13,8;102,3
Viandes;Lièvre, en ragoût;203;30;0;9,2;0;60,9;;150;304,5;45;0;13,8;91,35
Viandes;Porc, côte, crue;174;18,6;0;10,6;0;69;;150;261;27,9;0;15,9;103,5
Viandes;Porc, côte, grillée;276;25,8;0;19,1;0;55,7;;150;414;38,7;0;28,65;83,55
Viandes;Porc, échine, rôtie;302;27,9;0;21,2;0;48,5;;150;453;41,85;0;31,8;72,75
Viandes;Porc, épaule, crue;224;17,3;0;16,5;0;63;;150;336;25,95;0;24,75;94,5
Viandes;Porc, épaule, cuite;253;30;0;14,8;0;55,7;;150;379,5;45;0;22,2;83,55
Viandes;Porc, escalope de jambon, crue;129;21,5;0;4,76;0;74,4;;150;193,5;32,25;0;7,14;111,6
Viandes;Porc, escalope de jambon, cuite;200;36;0;6,22;0;56;;150;300;54;0;9,33;84
Viandes;Porc, filet mignon, cru;122;21,2;0;4,09;0;74,9;;150;183;31,8;0;6,135;112,35
Viandes;Porc, filet mignon, cuit;168;26,1;0;7,08;0;65,4;;150;252;39,15;0;10,62;98,1
Viandes;Porc, filet, maigre, cru;123;21,1;0;4,22;0;74,6;;150;184,5;31,65;0;6,33;111,9
Viandes;Porc, filet, maigre, en rôti, cuit;195;27,5;0;9,39;0;64,3;;150;292,5;41,25;0;14,085;96,45
Viandes;Porc, poitrine, crue;259;16,9;0;21,4;0;59,4;;150;388,5;25,35;0;32,1;89,1
Viandes;Porc, rôti carré, cru;203;34,1;0;7,45;0;58;;150;304,5;51,15;0;11,175;87
Viandes;Porc, rôti, cru;144;20,8;0;6,92;0;71,4;;150;216;31,2;0;10,38;107,1
Viandes;Porc, rôti, cuit;159;23,8;1,1;6;1,1;71,3;;150;238,5;35,7;1,65;9;106,95
Viandes;Porc, rouelle de jambon, crue;149;20,2;0;7,56;0;68;;150;223,5;30,3;0;11,34;102
Viandes;Porc, rouelle de jambon, cuite;205;29,8;0;9,54;0;54,7;;150;307,5;44,7;0;14,31;82,05
Viandes;Porc, travers, braisé;332;23,1;0;26,6;0;49,4;;150;498;34,65;0;39,9;74,1
Viandes;Porc, travers, cru;235;17,8;0;18,3;0;61,6;;150;352,5;26,7;0;27,45;92,4
Viandes;Sanglier, rôti;153;28,3;0;4,38;0;63,9;;150;229,5;42,45;0;6,57;95,85
Viandes;Steak haché  5% MG, cru;121;19,6;0;4,69;0;73,8;;150;181,5;29,4;0;7,035;110,7
Viandes;Steak haché  5% MG, cuit;158;26,3;0;5,85;0;66;;150;237;39,45;0;8,775;99
Viandes;Steak haché 10% MG, cru;169;20,6;0;9,6;0;70,2;;150;253,5;30,9;0;14,4;105,3
Viandes;Steak haché 10% MG, cuit;210;26,1;0;11,7;0;61,4;;150;315;39,15;0;17,55;92,1
Viandes;Steak haché 15% MG, cru;199;18,7;0;13,6;0;65,9;;150;298,5;28,05;0;20,4;98,85
Viandes;Steak haché 15% MG, cuit;239;23,6;0;16,1;0;59;;150;358,5;35,4;0;24,15;88,5
Viandes;Steak haché 20% MG, cru;285;16,8;0;24,2;0;58,1;;150;427,5;25,2;0;36,3;87,15
Viandes;Steak haché 20% MG, cuit;276;25,8;0;19,2;0;56,7;;150;414;38,7;0;28,8;85,05
Viandes;Veau, collier, cru;124;17,8;0;5,92;0;73,8;;150;186;26,7;0;8,88;110,7
Viandes;Veau, côte, crue;181;16,4;0;12,8;0;68,9;;150;271,5;24,6;0;19,2;103,35
Viandes;Veau, côte, cuite;237;25,2;0;15,1;0,2;58,4;;150;355,5;37,8;0;22,65;87,6
Viandes;Veau, épaule, crue;116;18,5;0;4,63;0;74,9;;150;174;27,75;0;6,945;112,35
Viandes;Veau, escalope, cuite;149;31;0;2,75;0;65;;150;223,5;46,5;0;4,125;97,5
Viandes;Veau, filet, rôti;138;28,4;0;2,75;0;65,1;;150;207;42,6;0;4,125;97,65
Viandes;Veau, jarret, cru;109;19;0;3,65;0;75,4;;150;163,5;28,5;0;5,475;113,1
Viandes;Veau, mijoté;198;30,8;0;8,35;0;60,1;;150;297;46,2;0;12,525;90,15
Viandes;Veau, noix, crue;102;19,6;0;2,57;0;75,4;;150;153;29,4;0;3,855;113,1
Viandes;Veau, poitrine, crue;120;19,5;0;4,63;0;73;;150;180;29,25;0;6,945;109,5
Viandes;Veau, rôti;120;21;0;3,96;0,1;76,4;;150;180;31,5;0;5,94;114,6
Volailles;Caille, viande et peau, cuite;198;25,1;0;10,9;0;60;;150;297;37,65;0;16,35;90
Volailles;Canard, magret, cuit à la poêle;205;26,7;0;10,9;0,6;62,9;;150;307,5;40,05;0;16,35;94,35
Volailles;Canard, viande rôtie;194;23,3;0;11,2;0;63,1;;150;291;34,95;0;16,8;94,65
Volailles;Dinde, escalope, crue;106;23,8;0;1,11;0;74,2;;150;159;35,7;0;1,665;111,3
Volailles;Dinde, escalope, sautée;127;28,5;0;1,44;0;66,3;;150;190,5;42,75;0;2,16;99,45
Volailles;Dinde, viande, rôtie;161;26,4;0;1,74;0;59;;150;241,5;39,6;0;2,61;88,5
Volailles;Faisan, viande, rôtie;238;32,4;0;12,1;0;54,2;;150;357;48,6;0;18,15;81,3
Volailles;Oie, viande, rôtie;274;29,1;0;17,5;0;52;;150;411;43,65;0;26,25;78
Volailles;Pigeon, viande, rôtie;213;23,9;0;13;0;62;;150;319,5;35,85;0;19,5;93
Volailles;Poule, viande et peau, bouillie;319;25,4;0;24,2;0;49,5;;150;478,5;38,1;0;36,3;74,25
Volailles;Poule, viande, bouillie;229;30,4;0;11,9;0;56,4;;150;343,5;45,6;0;17,85;84,6
Volailles;Poulet, blanc, sans peau, cuit;121;26,2;0;1,76;0,35;72,5;;150;181,5;39,3;0;2,64;108,75
Volailles;Poulet, cuisse, viande et peau, rôti;190;26;0;9,57;0;65,7;;150;285;39;0;14,355;98,55
Volailles;Poulet, cuisse, viande, bouilli;191;26,2;0;9,6;0;64,1;;150;286,5;39,3;0;14,4;96,15
Volailles;Poulet, manchons marinés et rôtis;213;22,4;2,1;12,6;0;60,2;;150;319,5;33,6;3,15;18,9;90,3
Volailles;Poulet, viande et peau, rôti;205;28,8;0;9,88;0;59,7;;150;307,5;43,2;0;14,82;89,55
Yaourts et spécialités laitières type yaourts;yaourt 0% aromatisé sucré;55;4,3;8,41;0,163;6,51;85,2;;125;68,75;5,375;10,5125;0,20375;106,5
Yaourts et spécialités laitières type yaourts;yaourt 0% aux céréales;58,8;4,6;6,87;1,08;5,65;85,7;;125;73,5;5,75;8,5875;1,35;107,125
Yaourts et spécialités laitières type yaourts;yaourt 0% aux fruits;42,1;4,3;4,43;0,32;4,26;88,3;;125;52,625;5,375;5,5375;0,4;110,375
Yaourts et spécialités laitières type yaourts;yaourt 0%, nature;42,4;4,33;5,13;0,309;4,8;88,1;;125;53;5,4125;6,4125;0,38625;110,125
Yaourts et spécialités laitières type yaourts;Yaourt à boire aromatisé;84,2;2,68;14,8;1,28;12,7;79,8;;125;105,25;3,35;18,5;1,6;99,75
Yaourts et spécialités laitières type yaourts;Yaourt à boire aux fruits;85,3;2,76;13,9;1,77;11,1;79,8;;125;106,625;3,45;17,375;2,2125;99,75
