Famille;Nom;Portion (g);Energie (kcal/portion);Protéines (g/portion);Glucides (g/portion);Lipides (g/portion);Eau (g/portion)
Céréales petit déjeuner et barres céréalières;"Barre céréalière ""équilibre"" au chocolat, enrichie en vitamines et minéraux";40;158,8;3,4;30,28;2,6;2
Céréales petit déjeuner et barres céréalières;"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux";40;152,8;3,2;29,12;2,6;3,56
Céréales petit déjeuner et barres céréalières;Barre céréalière à base de céréales pour petit déjeuner et de lait, enrichie en vitamines et minéraux;40;174,4;2,8;28,8;5,32;2
Céréales petit déjeuner et barres céréalières;Barre céréalière aux amandes ou noisettes;40;180,4;2,8;25,28;7,4;3
Céréales petit déjeuner et barres céréalières;Barre céréalière aux fruits;40;156,4;2,52;27,76;3,564;4
Céréales petit déjeuner et barres céréalières;Barre céréalière chocolatée;40;176,8;2,508;26,28;6,56;2,488
Céréales petit déjeuner et barres céréalières;Barre céréalière diététique hypocalorique;40;141,2;10,8;13,36;4,96;3,8
Céréales petit déjeuner et barres céréalières;Boules de maïs soufflées au miel, enrichies en vitamines et minéraux;40;154,4;2;34,68;0,652;1,2
Céréales petit déjeuner et barres céréalières;"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux";40;160,4;4,72;28,84;2,588;1,664
Céréales petit déjeuner et barres céréalières;"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux";40;153,2;5,6;29,36;1,08;1,2
Céréales petit déjeuner et barres céréalières;"Céréales pour petit déjeuner ""équilibre"" nature, enrichies en vitamines et minéraux";40;152,8;5,08;31,32;0,532;1,124
Céréales petit déjeuner et barres céréalières;Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux;40;156,4;1,668;33,28;1,6;1,412
Céréales petit déjeuner et barres céréalières;Céréales pour petit déjeuner fourrées au chocolat ou chocolat0noisettes, enrichies en vitamines et minéraux;40;175,6;3,372;26,88;5,72;1,44
Céréales petit déjeuner et barres céréalières;Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux;40;169,2;2,264;25,96;5,8;3,44
Céréales petit déjeuner et barres céréalières;Céréales pour petit déjeuner riches en fibres, enrichies en vitamines et minéraux;40;144,8;4,2;25,68;1,48;1,464
Céréales petit déjeuner et barres céréalières;Flocons d'avoine, cuits à l'eau;40;26,28;0,6;4,6;0,44;33,56
Céréales petit déjeuner et barres céréalières;Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux;40;155,6;2,6;33,68;0,832;0,8
Céréales petit déjeuner et barres céréalières;Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux;40;155,6;3,528;30,2;1,716;1,064
Céréales petit déjeuner et barres céréalières;Muesli croustillant au chocolat, enrichi en vitamines et minéraux;40;181,2;3,4;24,64;6,96;1,104
Céréales petit déjeuner et barres céréalières;Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux;40;180,4;3,004;24,6;7,08;1,612
Céréales petit déjeuner et barres céréalières;Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux;40;149,6;3,6;27,76;2,112;3,148
Céréales petit déjeuner et barres céréalières;Muesli floconneux aux fruits ou fruits secs, sans sucre ajouté;40;151,2;4,52;24,72;3,052;3,672
Céréales petit déjeuner et barres céréalières;Multi0céréales soufflées ou extrudées, enrichies en vitamines et minéraux;40;166;3;30;3,5;1,2
Céréales petit déjeuner et barres céréalières;Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux;40;155,6;4,16;26,92;2,696;2
Céréales petit déjeuner et barres céréalières;Pétales de blé chocolatés, enrichis en vitamines et minéraux;40;156;1,8;33,48;1,248;0,94
Céréales petit déjeuner et barres céréalières;Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux;40;152,4;2,4;34,2;0,464;1,32
Céréales petit déjeuner et barres céréalières;Pétales de maïs natures, enrichis en vitamines et minéraux;40;151,2;3;33,48;0,3056;1,192
Céréales petit déjeuner et barres céréalières;Riz soufflé au chocolat, enrichi en vitamines et minéraux;40;158;2,104;33,48;1,52;1,112
Céréales petit déjeuner et barres céréalières;Riz soufflé nature, enrichi en vitamines et minéraux;40;154,8;2,672;34,52;0,492;0,896
Charcuteries et salaisons;Andouille;100;221;18,4;0,3;16,2;60,5
Charcuteries et salaisons;Andouille, réchauffée à la poêle;100;270;22,5;0;20;55,5
Charcuteries et salaisons;Andouillette, poêlée;100;276;24,5;1;19,3;48,7
Charcuteries et salaisons;Bloc de foie gras de canard, appertisé;100;511;9;0,85;52,4;36,1
Charcuteries et salaisons;Boudin blanc, poêlé;100;226;10,1;5,63;18,1;61,4
Charcuteries et salaisons;Boudin noir, poêlé;100;261;14,8;1,8;21,6;53,9
Charcuteries et salaisons;Cervelas;100;292;12;1,3;26,5;61,1
Charcuteries et salaisons;Chipolata, cuite;100;338;19;8,38;25,4;45,8
Charcuteries et salaisons;Chorizo;100;477;21,1;3,5;42,1;26,3
Charcuteries et salaisons;Confit de canard;100;217;30,7;0;10,5;57,3
Charcuteries et salaisons;Coppa;100;232;23,9;0,2;15,1;51,9
Charcuteries et salaisons;Filet de bacon, cuit;100;116;23;0,7;2,3;68,2
Charcuteries et salaisons;Foie gras de canard, appertisé ou pasteurisé;100;485;6,9;1,6;50,1;36,5
Charcuteries et salaisons;Fromage de tête;100;168;14,7;0,2;12;66,5
Charcuteries et salaisons;Galantine;100;239;15,9;6,52;16,5;58,4
Charcuteries et salaisons;Jambon cru;100;232;21,1;0,45;16,2;51,4
Charcuteries et salaisons;Jambon cru, fumé;100;225;24;0,1;14,3;52,6
Charcuteries et salaisons;Jambon cuit;100;121;17,9;1,26;4,93;73
Charcuteries et salaisons;Jambon cuit supérieur;100;114;21,1;0,6;3,02;73,4
Charcuteries et salaisons;Jambon cuit supérieur, DD;100;114;20,9;0,425;3,15;73,1
Charcuteries et salaisons;Jambon cuit, de Paris, DD;100;107;18;1,8;3,12;73,2
Charcuteries et salaisons;Jambon cuit, fumé;100;101;19;0,45;2,59;71,7
Charcuteries et salaisons;Jambon de volaille;100;107;21,4;0,5;2,14;72,7
Charcuteries et salaisons;Jambon en croûte;100;246;14,5;14,8;14,2;52,2
Charcuteries et salaisons;Jambon sec, découenné, dégraissé;100;195;26,6;1,77;9,07;54,8
Charcuteries et salaisons;Jambonneau, cuit;100;144;20,6;1,1;6,41;72,2
Charcuteries et salaisons;Lardon fumé, cru;100;264;16,4;0,6;21,8;57,6
Charcuteries et salaisons;Lardon fumé, cuit;100;258;14,7;0;22,1;61,7
Charcuteries et salaisons;Lardon nature, cru;100;266;15,4;0,4;22,5;55,4
Charcuteries et salaisons;Lardon nature, cuit;100;329;23,8;2;25,1;45
Charcuteries et salaisons;Merguez, boeuf et mouton, cuite;100;283;19,8;0,215;22,6;52,4
Charcuteries et salaisons;Mortadelle;100;313;14,1;1,4;27,9;55,1
Charcuteries et salaisons;Mousse de foie;100;317;10,5;3,62;28,9;54,1
Charcuteries et salaisons;Museau de porc vinaigrette;100;281;14,4;0,8;24,5;57,3
Charcuteries et salaisons;Pancetta ou Poitrine roulée sèche;100;355;21,3;0,35;29,8;44,7
Charcuteries et salaisons;Pâté de campagne;100;333;14,7;3,47;28,9;53,7
Charcuteries et salaisons;Pâté de foie de porc;100;346;10,6;2,3;32,7;51,2
Charcuteries et salaisons;Pâté de foie de volaille;100;234;11,9;6;18;60,2
Charcuteries et salaisons;Pâté de lapin;100;274;14,8;2;23;62,1
Charcuteries et salaisons;Pâté en croûte;100;270;11,9;11,8;19,7;47,8
Charcuteries et salaisons;Poitrine de porc, fumée, crue;100;312;16,5;0;27,3;54,1
Charcuteries et salaisons;Quenelle au naturel, appertisée;100;199;4,9;9,33;15,7;68,9
Charcuteries et salaisons;Quenelle de volaille, appertisée;100;185;6,8;9,93;13;67,9
Charcuteries et salaisons;Quenelle en sauce, appertisée;100;151;3,6;8,54;11,3;75,3
Charcuteries et salaisons;Rillettes de viandes autres que pur porc (volaille...);100;424;15,1;0,117;40,3;43,2
Charcuteries et salaisons;Rillettes pur porc;100;410;14,2;0,1;39,2;44,3
Charcuteries et salaisons;Rillettes traditionnelles de porc;100;417;14,3;0,1;39,9;40,5
Charcuteries et salaisons;Rosette ou Fuseau;100;402;24,9;2;32,7;39
Charcuteries et salaisons;Salami;100;482;18,1;1,23;45;31,6
Charcuteries et salaisons;Saucisse alsacienne fumée ou Gendarme;100;351;21;3,31;28,2;44,1
Charcuteries et salaisons;Saucisse cocktail;100;299;12,7;1,35;27;56,8
Charcuteries et salaisons;Saucisse de Francfort;100;293;12,1;1,15;26,7;56,7
Charcuteries et salaisons;Saucisse de Montbéliard;100;325;15,7;0,7;28,8;50,5
Charcuteries et salaisons;Saucisse de Morteau, cuite à l'eau;100;333;15,2;0;30,2;51,7
Charcuteries et salaisons;Saucisse de Strasbourg;100;287;12,5;1;25,9;57
Charcuteries et salaisons;Saucisse de Toulouse, cuite;100;311;18,8;1,1;25,7;54,9
Charcuteries et salaisons;Saucisson à l'ail;100;286;14,6;0,7;25;54,8
Charcuteries et salaisons;Saucisson sec;100;410;26,5;1,23;33,2;30,1
Charcuteries et salaisons;Saucisson sec pur porc;100;405;26,2;1,9;32,9;35
Charcuteries et salaisons;Terrine de canard;100;310;15,2;3,53;26,1;52,8
Charcuteries et salaisons;Viande des Grisons;100;201;37,4;0,62;5,47;53,5
Confitures;Confiture allégée en sucre, tout type;30;54;0,1479;13,08;0,06;16,26
Confitures;Confiture d'abricot;30;69,6;0,09;16,98;0,075;12,33
Confitures;Confiture de cerise;30;73,5;0,141;17,97;0,066;11,4
Confitures;Confiture de fraise;30;78,6;0,12;19,2;0,21;11,19
Confitures;Confiture de framboise;30;73,8;0,15;17,58;0,18;11,52
Confitures;Confiture de myrtilles;30;75;0,12;18,15;0,075;11,01
Confitures;Confiture ou Marmelade d'orange;30;72,3;0,09;17,61;0,075;11,7
Confitures;Préparation de fruits;30;54,6;0,198;13,02;0,0759;16,08
Desserts lactés frais ou UHT;Crème anglaise;100;110;2,76;17,7;3,17;75,6
Desserts lactés frais ou UHT;Crème brûlée;100;300;4,33;16,2;24,3;54,6
Desserts lactés frais ou UHT;Crème caramel;100;136;4,41;23,6;2,67;68,4
Desserts lactés frais ou UHT;Crème chantilly sous pression, UHT;100;285;2,26;9,56;26,4;61,3
Desserts lactés frais ou UHT;Crème dessert à la vanille, appertisée;100;123;3,5;16,7;4,6;74
Desserts lactés frais ou UHT;Crème dessert à la vanille, rayon frais;100;127;3,64;19,3;4;71,2
Desserts lactés frais ou UHT;Crème dessert allégée en matière grasse, rayon frais;100;87,5;3,8;16,7;0,679;78
Desserts lactés frais ou UHT;Crème dessert au chocolat, appertisée;100;141;3,8;22,9;3,65;67,6
Desserts lactés frais ou UHT;Crème dessert au chocolat, rayon frais;100;137;4,1;19,5;5,07;71,2
Desserts lactés frais ou UHT;Crème dessert aux oeufs ou crème renversée;100;175;4,47;22,8;7,41;64,6
Desserts lactés frais ou UHT;Crème pâtissière;100;118;2,9;22,8;1,7;72,1
Desserts lactés frais ou UHT;Ile flottante;100;138;4,67;21,3;3,76;69,7
Desserts lactés frais ou UHT;Lait de poule, sans alcool;100;92,6;3,8;10,2;4,1;81,2
Desserts lactés frais ou UHT;Lait gélifié aromatisé chocolat, rayon frais;100;144;3,18;26;3,1;66,9
Desserts lactés frais ou UHT;Lait gélifié aromatisé nappé de caramel, rayon frais;100;116;2,97;21,6;1,88;72,6
Desserts lactés frais ou UHT;Milk0shake, tout parfum;100;109;3,5;19,7;1,8;73,9
Desserts lactés frais ou UHT;Viennois ou liégeois, chocolat, café, caramel ou vanille, rayon frais;100;155;3,3;15,9;8,76;71,2
Eaux;Eau minérale;100;0;0;0;0;100
Entremets et glaces;Barre chocolatée glacée;100;355;6,21;38,1;19,6;33,7
Entremets et glaces;Clafoutis aux fruits;100;212;5;31,1;7,45;54,6
Entremets et glaces;Crème glacée;100;184;3,58;19,7;10,1;65,5
Entremets et glaces;Crème glacée au chocolat;100;192;4,08;17,5;10,8;62,5
Entremets et glaces;Dessert fermenté au soja, aux fruits, enrichi en vitamines et/ou minéraux, rayon frais;100;85,7;3,41;12,8;2,17;80,9
Entremets et glaces;Dessert fermenté au soja, nature, rayon frais;100;53,2;4,27;2,59;2,68;90,1
Entremets et glaces;Dessert soja aromatisé, rayon frais;100;114;2,87;21,3;1,75;73,3
Entremets et glaces;Gâteau de riz nappé de caramel, rayon frais;100;146;3,57;25,2;3,31;66,7
Entremets et glaces;Gâteau de semoule, appertisé;100;142;3,68;24,1;3,21;67,5
Entremets et glaces;Glace en cornet;100;278;4,15;33,1;14,2;46,5
Entremets et glaces;Glace sur bâtonnet, enrobée de chocolat;100;264;2,2;31,7;14,2;49,6
Entremets et glaces;Mousse à la crème de marrons;100;244;2,31;37,9;9,06;49,4
Entremets et glaces;Mousse au chocolat, rayon frais;100;164;5,34;18,2;7,7;67,3
Entremets et glaces;Mousse aux fruits;100;149;2,59;16,9;7,85;73,5
Entremets et glaces;Omelette norvégienne;100;286;4,42;41,2;11,3;41,5
Entremets et glaces;Pain perdu;100;234;6,28;31,2;9;51
Entremets et glaces;Pêche melba;100;119;2,05;18,8;3,62;73,5
Entremets et glaces;Poire belle Hélène;100;196;2,92;23,3;9,57;60,7
Entremets et glaces;Profiterole avec glace vanille et sauce chocolat;100;208;4,63;24,8;9,9;58,9
Entremets et glaces;Riz au lait, rayon frais;100;124;3,2;20,7;3,08;72
Entremets et glaces;Semoule au lait, rayon frais;100;125;3,38;18,6;3,24;70,3
Entremets et glaces;Sorbet;100;123;0,795;26;1,55;69,8
Entremets et glaces;Tiramisu;100;280;3,82;37,5;12,5;44
Fromages affinés à pâte dure;Beaufort;70;275,1;18,62;2,597;21,21;24,01
Fromages affinés à pâte dure;Comté;70;291,9;19,67;0;23,8;22,05
Fromages affinés à pâte dure;Emmental;70;256,9;19,74;0;19,81;26,25
Fromages affinés à pâte dure;Emmental râpé;70;266,7;19,46;0,035;21;26,67
Fromages affinés à pâte dure;Fromâge à pate pressée cuite type Emmental, allégé;70;203,7;23,24;1,4;11,9;32,9
Fromages affinés à pâte dure;Gruyère;70;289,8;19,04;0,98;23,38;23,31
Fromages affinés à pâte dure;Parmesan;70;308,7;27,58;1,309;21,63;15,89
Fromages affinés à pâte ferme;Cantal, Salers ou Laguiole;70;259,7;17,29;0,1288;21,21;28,35
Fromages affinés à pâte ferme;Cheddar;70;282,1;17,85;0,35;23,38;25,2
Fromages affinés à pâte ferme;Edam;70;218,4;22,82;0;14,35;30,73
Fromages affinés à pâte ferme;Gouda;70;254,1;16,8;0;20,93;27,02
Fromages affinés à pâte ferme;Mimolette;70;230,3;17,43;0;17,99;28,21
Fromages affinés à pâte ferme;Morbier;70;242,9;16,52;2,198;18,83;29,61
Fromages affinés à pâte ferme;Port0Salut;70;231,7;16,66;0,399;18,27;34,09
Fromages affinés à pâte ferme;Raclette (fromage);70;256,9;17,5;0,4809;20,72;28,77
Fromages affinés à pâte ferme;Saint Nectaire;70;237,3;17,08;0,1596;18,83;29,61
Fromages affinés à pâte ferme;Saint Paulin;70;259;16,45;0,63;21,28;29,96
Fromages affinés à pâte ferme;Tomme;70;240,1;20,02;0;17,92;29,26
Fromages affinés à pâte ferme;Tomme de montagne ou Tomme de Savoie;70;252,7;15,82;0,1638;21,07;29,47
Fromages affinés à pâte molle;Brie;70;235,9;13,72;1,54;19,53;34,23
Fromages affinés à pâte molle;Camembert au lait cru;70;186,9;14,28;0,854;14,14;38,78
Fromages affinés à pâte molle;Camembert environ 20% MG;70;189;15,68;0,2632;14;37,87
Fromages affinés à pâte molle;Camembert et apparentés environ 26% MG;70;219,1;13,65;0,14;18,34;35,35
Fromages affinés à pâte molle;Carré de l'Est;70;209,3;14,7;0;16,8;38,15
Fromages affinés à pâte molle;Chabichou;70;242,2;14,07;1,211;17,92;33,18
Fromages affinés à pâte molle;Chaource;70;190,4;12,18;0,945;15,4;39,2
Fromages affinés à pâte molle;Chevrot;70;201,6;12,95;0,875;15,96;38,78
Fromages affinés à pâte molle;Coulommiers;70;204,4;13,58;0;16,8;38,15
Fromages affinés à pâte molle;Crottin de chavignol;70;230,3;13,79;0,875;18,83;35,56
Fromages affinés à pâte molle;Crottin de chèvre;70;247,1;14,35;1,274;20,23;30,87
Fromages affinés à pâte molle;Crottin de chèvre, au lait cru;70;258,3;16,24;0,581;21;33,81
Fromages affinés à pâte molle;Langres;70;204,4;12,04;0,476;17,22;38,57
Fromages affinés à pâte molle;Livarot;70;205,8;15,75;3,395;14,49;33,95
Fromages affinés à pâte molle;Maroilles;70;243,6;19,74;0;18,48;29,68
Fromages affinés à pâte molle;Munster;70;237,3;16,38;0,784;18,9;33,95
Fromages affinés à pâte molle;Neufchâtel;70;178,5;6,405;2,443;15,96;44,17
Fromages affinés à pâte molle;Pélardon;70;246,4;16,66;0,595;19,46;30,52
Fromages affinés à pâte molle;Picodon;70;255,5;14,63;0,931;21,21;32,13
Fromages affinés à pâte molle;Pont l'Évêque;70;198,8;14,7;0;15,68;37,24
Fromages affinés à pâte molle;Pouligny Saint0Pierre;70;229,6;14,14;0,315;18,76;34,44
Fromages affinés à pâte molle;Reblochon;70;231;14,56;0,0658;19,32;33,39
Fromages affinés à pâte molle;Rocamadour;70;216,3;16,24;0,63;16,24;37,94
Fromages affinés à pâte molle;Rouy;70;234,5;15,75;0,7;18,9;32,55
Fromages affinés à pâte molle;Sainte0Maure;70;240,8;15,26;0,805;19,74;33,74
Fromages affinés à pâte molle;Saint0Marcellin;70;198,1;8,89;0,707;17,78;40,67
Fromages affinés à pâte molle;Vacherin Mont d'Or;70;201,6;12,32;0,4697;16,8;37,87
Fromages affinés à pâte molle;Valençay;70;197,4;12,25;1,435;15,54;38,85
Fromages affinés à pâte persillée;Fourme d'Ambert;70;247,1;13,86;2,898;19,95;30,03
Fromages affinés à pâte persillée;Fromage bleu au lait de vache;70;240,8;13,02;0,63;20,58;33,46
Fromages affinés à pâte persillée;Fromage bleu d'Auvergne;70;238,7;13,79;0,98;19,88;31,71
Fromages affinés à pâte persillée;Fromage bleu de Bresse;70;243,6;12,53;2,1;20,51;35,77
Fromages affinés à pâte persillée;Gorgonzola;70;252;13,58;0,07;21,84;29,68
Fromages affinés à pâte persillée;Roquefort;70;261,8;13,37;1,246;22,47;28,21
Fromages blancs ultrafrais;Fromage blanc battu 0% MG aux fruits, allégé en sucre, édulcoré;70;35,28;4,62;3,654;0,105;59,01
Fromages blancs ultrafrais;Fromage blanc battu 0% MG nature;70;31,85;5,18;2,8;0,126;60,76
Fromages blancs ultrafrais;Fromage blanc battu au lait demi0écrémé nature;70;52,78;5,278;2,576;2,254;59,15
Fromages blancs ultrafrais;Fromage blanc battu au lait entier nature;70;81,2;4,76;2,429;5,677;56,91
Fromages blancs ultrafrais;Fromage blanc battu au lait partiellement écrémé nature;70;77,7;7,21;2,1;4,41;55,16
Fromages blancs ultrafrais;Fromage blanc campagne 0% MG nature;70;28,14;3,01;3,395;0,126;59,64
Fromages blancs ultrafrais;Fromage blanc campagne au lait entier nature;70;65,94;2,639;2,73;4,795;57,26
Fromages blancs ultrafrais;Petit suisse à la crème, nature;70;97,3;6,65;2,52;6,65;52,64
Fromages blancs ultrafrais;Petit suisse au lait entier, nature;70;93,8;6,825;2,359;6,202;53,62
Fromages blancs ultrafrais;Spécialité laitière de fromage blanc, avec crème, aux fruits, sucrée;70;93,1;3,045;9,94;4,396;51,66
Fromages blancs ultrafrais;Spécialité laitière de fromage blanc, avec crème, nature;70;93,8;3,99;3,01;7,21;55,86
Fromages fondus;Cancoillotte (spécialité fromagère fondue);70;88,9;10,5;0,7;4,34;52,08
Fromages fondus;Fromage fondu en portions ou en cubes environ 15% MG;70;128,8;9,17;10,99;5,068;46,06
Fromages fondus;Fromage fondu en portions ou en cubes environ 22% MG;70;193,2;7,14;4,55;15,75;38,29
Fromages fondus;Snack pour enfants à base de fromage fondu et de gressins;70;223,3;7,49;16,87;13,23;29,82
Fromages fondus;Spécialité fromagère fondante au fromage blanc et aux noix;70;246,4;7,84;1,89;22,4;36,05
Fromages non affinés et spécialités fromagères;Feta de brebis;70;190,4;10,85;0,98;15,68;38,78
Fromages non affinés et spécialités fromagères;Fromage de chèvre à tartiner, nature;70;115,5;7,42;1,925;8,68;49,7
Fromages non affinés et spécialités fromagères;Fromage de chèvre frais, au lait cru (type palet ou crottin frais);70;147,7;9,17;1,281;11,83;45,92
Fromages non affinés et spécialités fromagères;Fromage de chèvre frais, au lait pasteurisé (type bûchette fraîche);70;175;11,27;1,435;13,93;42,98
Fromages non affinés et spécialités fromagères;Fromage de chèvre frais, au lait pasteurisé ou cru (type crottin frais ou bûchette fraîche);70;155,4;9,66;1,61;12,04;48,16
Fromages non affinés et spécialités fromagères;Fromage type Feta, au lait de vache;70;184,8;11,97;0,826;14,63;38,5
Fromages non affinés et spécialités fromagères;Mozzarella;70;181,3;13,93;0,28;13,58;40,81
Fromages non affinés et spécialités fromagères;Ricotta;70;112;8,05;2,625;7,35;50,89
Fruits frais;Abricot, frais;120;58,92;1,08;10,812;0,2484;103,32
Fruits frais;Ananas, frais, pulpe;120;63,12;0,48;13,2;0,24;102,96
Fruits frais;Banane, fraîche, pulpe;120;112,32;1,44;24,6;0,2724;89,64
Fruits frais;Carambole, frais, pulpe;120;32,76;0,936;3,492;0,4116;109,68
Fruits frais;Cassis, frais;120;87,84;1,08;12,48;0,6;92,88
Fruits frais;Cerise, fraîche;120;84,96;1,56;17,04;0,36;97,44
Fruits frais;Citron vert ou Lime, frais, pulpe;120;43,44;0,84;3,384;0,24;105,96
Fruits frais;Citron, frais, pulpe;120;41,16;0,96;2,94;0,36;107,04
Fruits frais;Citron, zeste;120;60,72;1,8;2,988;0,36;97,92
Fruits frais;Clémentine ou Mandarine, fraîche, pulpe;120;58,2;0,96;11,028;0,228;103,92
Fruits frais;Coing, frais;120;69,24;0,4404;13,44;0,48;100,8
Fruits frais;Coulis de fruits rouges (framboises, fraises, groseilles, cassis);120;108,12;1,128;21;0,57;90
Fruits frais;Figue de Barbarie, pulpe et graines;120;65,64;0,9;12,12;0,36;99,6
Fruits frais;Figue, fraîche;120;80,16;1,56;16,08;0,36;98,16
Fruits frais;Fraise, fraîche;120;34,2;0,9;4,872;0,312;109,92
Fruits frais;Framboise, fraîche;120;54,12;1,68;5,1;0,36;101,64
Fruits frais;Fruit de la passion, frais, pulpe et pépins;120;101,16;2,64;11,376;0,84;87,48
Fruits frais;Fruits rouges, frais (framboises, fraises, groseilles, cassis);120;56,16;1,332;6,36;0,7512;102,84
Fruits frais;Grenade, fraîche, pulpe et pépins;120;85,32;1,272;16,32;0,6684;97,2
Fruits frais;Groseille à maquereau, fraîche;120;48,36;1,0716;5,796;0,7116;105,48
Fruits frais;Groseille, fraîche;120;66,48;1,32;7,368;0,6;98,88
Fruits frais;Kaki, frais, pulpe;120;81,24;0,7524;16,44;0,3156;97,2
Fruits frais;Kiwi, frais, pulpe et graines;120;69,24;1,32;11,244;0,87;100,92
Fruits frais;Litchi, frais, pulpe;120;83,28;0,978;16,8;0,504;98,16
Fruits frais;Mangue, fraîche, pulpe;120;76,2;0,84;16,32;0,24;99,72
Fruits frais;Melon, frais, pulpe;120;38,52;0,852;7,788;0,1776;109,32
Fruits frais;Mirabelle, fraîche;120;74,16;0,864;14,88;0,24;99,24
Fruits frais;Mûre (de ronce), fraîche;120;54,48;1,08;7,224;0,24;102
Fruits frais;Mûre noire (du mûrier), fraîche;120;59,28;1,644;11,64;0,234;103,56
Fruits frais;Myrtille, fraîche;120;72,24;0,7764;13,92;0,2916;100,08
Fruits frais;Nectarine, fraîche, pulpe et peau;120;51,12;1,68;9,228;0,12;105,36
Fruits frais;Nèfle du Japon, fraîche, pulpe;120;66,84;0,492;14,4;0,3204;102
Fruits frais;Orange, fraîche, pulpe;120;55,8;1,1484;9,984;0,312;104,52
Fruits frais;Papaye, fraîche, pulpe;120;51,96;0,6684;9,372;0,264;105,24
Fruits frais;Pastèque, fraîche, pulpe;120;40,8;0,7236;8,736;0,09996;109,32
Fruits frais;Pêche, fraîche, pulpe;120;65,04;0,84;13,56;0,3;105,6
Fruits frais;Pêche, fraîche, pulpe et peau;120;64,08;1,0836;12,24;0,3;102,12
Fruits frais;Poire, fraîche, pulpe et peau;120;63,6;0,462;12,96;0,264;102,12
