Famille;Nom;Portion (g);Energie (kcal/portion);Protéines (g/portion);Glucides (g/portion);Lipides (g/portion);Eau (g/portion)
Plats à base de poisson ou produits aquatiques;Poisson à la provençale;300;210,9;27,9;8,7;6,9;250,8
Plats à base de poisson ou produits aquatiques;Quenelle de poisson, cuite;300;723;27,48;63,9;39,3;163,8
Plats à base de viande ou volaille;Blanquette de veau;300;345;41,7;9,18;15,3;229,2
Plats à base de viande ou volaille;Blanquette de veau et riz;300;411;23,28;38,1;17,13;213
Plats à base de viande ou volaille;Boeuf aux carottes;300;254,7;30,6;3,24;12,54;239,7
Plats à base de viande ou volaille;Boeuf bourguignon;300;303;20,1;33,3;9,99;232,5
Plats à base de viande ou volaille;Boeuf, boulettes cuites;300;606;45,6;15,24;39,9;191,4
Plats à base de viande ou volaille;Bouchée à la reine, au poulet;300;774;21,3;57;50,4;166,2
Plats à base de viande ou volaille;Brochette d'agneau;300;450;40,5;8,1;28,02;218,4
Plats à base de viande ou volaille;Brochette de boeuf;300;651;56,7;6,72;43,8;187,8
Plats à base de viande ou volaille;Brochette de volaille;300;603;59,1;3,39;39;192,6
Plats à base de viande ou volaille;Brochette mixte de viande;300;627;57,9;5,16;41,4;190,2
Plats à base de viande ou volaille;Burritos ou Fajitas;300;516;24,66;55,5;19,59;185,4
Plats à base de viande ou volaille;Carpaccio de boeuf;300;834;45,6;7,14;69;171
Plats à base de viande ou volaille;Cassoulet, appertisé;300;408;25,74;25,17;20,28;213
Plats à base de viande ou volaille;Chili con carne;300;333;33;26,16;8,79;217,5
Plats à base de viande ou volaille;Coq au vin;300;273,9;26,4;10,71;13,95;245,1
Plats à base de viande ou volaille;Cordon bleu de volaille;300;690;44,1;32,7;42;172,2
Plats à base de viande ou volaille;Feuilleté ou Friand à la viande;300;993;38,1;51;72,6;121,2
Plats à base de viande ou volaille;Gratin d'endives et jambon;300;272,7;17,52;9,96;16,68;245,4
Plats à base de viande ou volaille;Hachis Parmentier;300;435;16,32;27,21;28,77;223,5
Plats à base de viande ou volaille;Légumes farcis (sauf tomate);300;321;12,96;12,84;23,49;243
Plats à base de viande ou volaille;Moussaka;300;414;22,8;13,17;29,25;228
Plats à base de viande ou volaille;Navarin d'agneau;300;417;34,2;10,17;25,83;221,1
Plats à base de viande ou volaille;Nuggets de volaille;300;564;39,3;21,6;34,5;169,5
Plats à base de viande ou volaille;Osso buco à la milanaise;300;306;33;14,91;12,24;232,2
Plats à base de viande ou volaille;Paupiette de veau;300;546;44,7;29,37;26,82;192,3
Plats à base de viande ou volaille;Paupiette de volaille;300;498;43,2;28,41;22,74;197,4
Plats à base de viande ou volaille;Petit salé ou saucisse aux lentilles;300;393;32,4;19,59;18,42;216,3
Plats à base de viande ou volaille;Pot0au0feu;300;216,9;32,7;5,64;6,06;248,7
Plats à base de viande ou volaille;Potée auvergnate;300;265,2;17,4;9,93;16,05;248,4
Plats à base de viande ou volaille;Poulet au curry;300;348;53,7;1,074;13,47;218,4
Plats à base de viande ou volaille;Poulet au curry, avec riz ou semoule, préemballé;300;369;23,73;52,2;5,73;208,2
Plats à base de viande ou volaille;Poulet basquaise au riz;300;303;17,1;39,9;7,8;233,4
Plats à base de viande ou volaille;Poulet basquaise aux pâtes;300;289,8;17,1;36,9;7,8;233,4
Plats à base de viande ou volaille;Tajine de mouton;300;399;38,4;14,64;20,49;219
Plats à base de viande ou volaille;Tajine poulet et semoule;300;390;24,06;57;6,06;204,3
Plats à base de viande ou volaille;Tomate farcie;300;366;20,7;5,04;28,14;239,7
Plats à base de viande ou volaille;Tripes à la mode de Caen;300;312;49,2;7,17;9,72;229,5
Plats à base de viande ou volaille;Veau, escalope panée, cuite;300;813;68,1;38,7;42,3;143,4
Poissons et batraciens non transformés;Anchois commun, cru;120;130,8;23,28;0;4,176;87,72
Poissons et batraciens non transformés;Anguille, cuite au four;120;276;28,44;0;18;71,16
Poissons et batraciens non transformés;Anguille, pochée;120;260,4;24,6;0;18;74,4
Poissons et batraciens non transformés;Bar commun ou Loup, cru;120;115,68;23,16;0;2,556;94,32
Poissons et batraciens non transformés;Bar commun ou Loup, cuit au four;120;184,8;28,32;0;7,932;82,08
Poissons et batraciens non transformés;Brochet, cuit au four;120;115,92;25,8;0;1,416;91,8
Poissons et batraciens non transformés;Cabillaud, cuit à la vapeur;120;99,24;22,32;0;1,11;91,56
Poissons et batraciens non transformés;Cabillaud, cuit au four;120;112,44;25,68;0;1,0776;91,56
Poissons et batraciens non transformés;Carpe, cuite au four;120;152,4;24,48;0;6;87,96
Poissons et batraciens non transformés;Carrelet ou Plie, cuit à la vapeur;120;101,16;22,8;0;1,11;93,6
Poissons et batraciens non transformés;Daurade grise, Dorade grise ou Griset, crue;120;148,8;24,12;0;5,772;88,8
Poissons et batraciens non transformés;Églefin, à la vapeur;120;106,8;25,08;0;0,72;93,96
Poissons et batraciens non transformés;Éperlan, cru;120;101,88;20,88;0;2,04;96,24
Poissons et batraciens non transformés;Espadon, cuit au four;120;229,2;27,48;0;13,2;77,04
Poissons et batraciens non transformés;Flétan (de l'Atlantique), cru;120;111,72;25,32;0;1,158;93,24
Poissons et batraciens non transformés;Grenouille, cuisse, crue;120;80,16;19,32;0;0,3204;98,28
Poissons et batraciens non transformés;Hareng, frit;120;220,8;27,6;0;12,24;76,8
Poissons et batraciens non transformés;Hareng, grillé;120;217,2;24,12;0;13,44;76,68
Poissons et batraciens non transformés;Julienne ou Lingue, crue;120;97,8;22,56;0;0,84;95,16
Poissons et batraciens non transformés;Lieu noir, congelé;120;95,04;22,56;0;0,528;92,4
Poissons et batraciens non transformés;Lieu noir, cru;120;98,16;21,84;0;1,1964;95,16
Poissons et batraciens non transformés;Lieu noir, cuit;120;122,4;27,72;0;1,32;92,52
Poissons et batraciens non transformés;Lieu ou colin d'Alaska, cru;120;76,68;18,36;0;0,72;99
Poissons et batraciens non transformés;Limande, crue;120;94,2;19,92;0;1,608;96,96
Poissons et batraciens non transformés;Limande0sole, à la vapeur;120;115,92;24,72;0;1,896;92,52
Poissons et batraciens non transformés;Lotte ou Baudroie, grillée;120;115,92;27,24;0;0,768;90,48
Poissons et batraciens non transformés;Maquereau, cuit au four;120;285,6;28,68;0;18,96;73,8
Poissons et batraciens non transformés;Maquereau, frit;120;223,2;28,32;0;12,24;77,52
Poissons et batraciens non transformés;Merlan, à la vapeur;120;108,96;25,08;0;0,96;91,2
Poissons et batraciens non transformés;Merlan, cru;120;95,88;22,92;0;0,936;95,52
Poissons et batraciens non transformés;Merlan, frit;120;150;27,72;0;4,32;85,68
Poissons et batraciens non transformés;Merlu blanc du Cap, surgelé;120;109,8;21,12;0;2,808;92,52
Poissons et batraciens non transformés;Merlu, cuit à l'étouffée;120;134,4;25,44;0;3,6;89,28
Poissons et batraciens non transformés;Mulet, cuit au four;120;171,6;29,76;0;5,832;84,6
Poissons et batraciens non transformés;Perche, cuite au four;120;156;29,64;0;4,104;88,44
Poissons et batraciens non transformés;Poisson pané, frit;120;238,8;10,32;18,36;13,56;74,64
Poissons et batraciens non transformés;Raie, cuite au court0bouillon;120;118,2;27,84;0;0,756;88,44
Poissons et batraciens non transformés;Raie, cuite au four;120;96,12;22,68;0;0,6;91,08
Poissons et batraciens non transformés;Rascasse, crue;120;108,96;22,8;0;1,968;94,8
Poissons et batraciens non transformés;Rouget0barbet de roche, cuit à l'étouffée;120;139,2;27,84;0;3,12;89,04
Poissons et batraciens non transformés;Roussette, cuite;120;126;30,48;0;0,42;87,84
Poissons et batraciens non transformés;Sardine, grillée;120;256,8;36;0;12,48;66,84
Poissons et batraciens non transformés;Saumon, cru, élevage;120;217,2;23,88;0;13,56;79,08
Poissons et batraciens non transformés;Saumon, cuit à la vapeur;120;260,4;27,24;0;16,8;77,4
Poissons et batraciens non transformés;Sole, cuite à la vapeur;120;113,4;24,36;0;1,776;92,4
Poissons et batraciens non transformés;Sole, cuite au four;120;87,6;19,2;0;1,2;99,6
Poissons et batraciens non transformés;Thon, cru;120;163,2;28,44;0;5,52;84,48
Poissons et batraciens non transformés;Thon, cuit au four;120;163,2;35,88;0;2,196;80,16
Poissons et batraciens non transformés;Tilapia du Nil, cru, élevage;120;103,2;20,4;0;2,4;94,08
Poissons et batraciens non transformés;Truite arc en ciel, élevage, cuite à la vapeur;120;150;24;0;5,988;90
Poissons et batraciens non transformés;Truite arc en ciel, élevage, cuite au four;120;162;26,88;0;5,988;83,16
Poissons et batraciens non transformés;Truite, cuite à la vapeur;120;145,2;22,8;0;5,988;90
Poissons et batraciens non transformés;Truite, cuite au four;120;163,2;27,36;0;5,988;85,2
Poissons et batraciens non transformés;Turbot, cuit au four;120;146,4;27,24;0;4,2;87,24
Pommes de terre et apparentés;Patate douce, cuite;150;118,65;2,535;24,45;0,2175;117
Pommes de terre et apparentés;Pomme de terre avec peau, cuite à la vapeur;150;134,25;2,805;28,65;0,33;115,5
Pommes de terre et apparentés;Pomme de terre dauphine, cuite;150;492;5,025;52,2;29,1;61,5
Pommes de terre et apparentés;Pomme de terre de conservation, cuite à l'eau, sans peau;150;109,8;2,955;22,5;0,15;119,4
Pommes de terre et apparentés;Pomme de terre frite ou Frite, cuite, non salée;150;381;6,9;45;18;71,1
Pommes de terre et apparentés;Pomme de terre frite ou Frite, surgelée, cuite, non salée;150;348;5,235;39,9;17,55;80,85
Pommes de terre et apparentés;Pomme de terre noisette, précuite, surgelée;150;258;5,4;31,05;11,16;94,05
Pommes de terre et apparentés;Pomme de terre primeur, cuite à l'eau, sans peau;150;131,55;2,76;28,2;0,15;119,7
Pommes de terre et apparentés;Pomme de terre, chips salées;150;730,5;9,75;79,35;40,5;3,435
Pommes de terre et apparentés;Pomme de terre, cuite à l'eau;150;112,8;3;23,7;0,33;118,35
Pommes de terre et apparentés;Pomme de terre, flocons déshydratés au lait;150;525;16,35;98,7;4,53;12,105
Pommes de terre et apparentés;Pomme de terre, purée à base de flocons, reconstituée avec lait demi0écrémé et eau, non salée;150;115,65;3,6;21,9;0,7725;119,25
Pommes de terre et apparentés;Pomme de terre, purée, avec lait et beurre, non salée;150;136,95;3;18,9;5,025;118,8
Pommes de terre et apparentés;Pomme de terre, rissolée, surgelée;150;246;4,05;41,1;6,375;91,5
Pommes de terre et apparentés;Pomme de terre, sans peau, cuite au four;150;137,55;2,94;30;0,15;113,1
Produits à base de crustacés et mollusques;Crabe, appertisé;120;93,72;21,72;0,36;0,6;95,04
Produits à base de crustacés et mollusques;Langoustine, panée, frite;120;314,4;11,28;30,24;16,32;59,76
Produits à base de poissons;Anchois commun, mariné;120;163,2;28,68;3,24;3,912;72,24
Produits à base de poissons;Anchois, filets à l'huile, semi0conserve, égoutté;120;218,4;31,68;0;10,14;66,12
Produits à base de poissons;Caviar, semi0conserve;120;213,6;30;3;9,024;73,2
Produits à base de poissons;Églefin, pané, frit;120;237,6;17,64;14,4;12;71,88
Produits à base de poissons;Foie de morue, appertisé, égoutté;120;502,8;5,82;0;53,28;54,84
Produits à base de poissons;Haddock (fumé) ou Églefin fumé;120;97,68;22,8;0;0,72;93,96
Produits à base de poissons;Hareng fumé;120;170,4;19,8;0;10,188;81,96
Produits à base de poissons;Hareng fumé, à l'huile;120;232,8;18,12;0;17,76;75,12
Produits à base de poissons;Hareng mariné ou rollmops;120;238,8;19,8;3,24;16,32;73,44
Produits à base de poissons;Limande0sole, panée, frite;120;276;19,2;11,52;16,8;72,6
Produits à base de poissons;Maquereau fumé;120;300;24,6;0;22,44;70,8
Produits à base de poissons;Maquereau, filet au vin blanc, appertisé, égoutté;120;247,2;22,68;0;17,4;77,4
Produits à base de poissons;Maquereau, filet sauce moutarde, appertisé, égoutté;120;252;20,28;1,8;18,24;77,16
Produits à base de poissons;Maquereau, filet sauce tomate, appertisé, égoutté;120;248,4;19,68;0;18,84;81,48
Produits à base de poissons;Morue, salée, pochée;120;135,6;31,2;0;1,212;80,88
Produits à base de poissons;Mousse de poisson;120;222;15,6;3,348;16,2;79,08
Produits à base de poissons;Oeufs de lompe, semi0conserve;120;172,8;23,04;0;9,024;82,08
Produits à base de poissons;Pâté à base de poisson ou de crustacés;120;297,6;12,96;4,2;25,44;72,96
Produits à base de poissons;Pilchard, sauce tomate, appertisé, égoutté;120;168;20,04;0;9,72;84,24
Produits à base de poissons;Poisson en sauce, surgelé;120;132;12,72;4,332;6,984;91,68
Produits à base de poissons;Poisson, croquette, frit;120;304,8;15,84;21,6;16,8;62,52
Produits à base de poissons;Rillettes de saumon;120;277,2;16,32;4,08;21,72;75,36
Produits à base de poissons;Rillettes de thon;120;267,6;18,72;2,04;20,52;76,2
Produits à base de poissons;Sardine, à l'huile d'olive, conserve, égouttée;120;237,6;29,16;0;13,44;72,12
Produits à base de poissons;Sardine, à l'huile, appertisée, égouttée;120;266,4;31,68;0;15,48;66,96
Produits à base de poissons;Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés;120;295,2;29,88;0;19,56;72,6
Produits à base de poissons;Sardine, sauce tomate, appertisée, égouttée;120;187,2;18,96;0;12,36;81,84
Produits à base de poissons;Saumon fumé;120;202,8;26,16;0;10,932;77,76
Produits à base de poissons;Surimi, bâtonnets;120;121,2;10,38;14,16;2,58;88,56
Produits à base de poissons;Tarama préemballé;120;652,8;8,304;12;63,48;35,16
Produits à base de poissons;Terrine de poisson;120;302,4;12;6,6;25,32;79,56
Produits à base de poissons;Thon à l'huile, appertisé, égoutté;120;277,2;30,96;0;17,04;69,48
Produits à base de poissons;Thon albacore, au naturel, appertisé, égoutté;120;138;31,68;0;1,248;84,48
Produits à base de poissons;Thon germon ou thon blanc à l'huile de soja, appertisé, égoutté;120;223,2;36,48;0;8,52;73,56
Produits à base de poissons;Thon germon ou Thon blanc, à l'huile d'olive, appertisé, égoutté;120;238,8;37,56;0;9,816;72,96
Produits à base de poissons;Thon germon ou thon blanc, cuit vapeur sous pression;120;200,4;36;0;6,288;76,8
Produits à base de poissons;Thon, au naturel, appertisé, égoutté;120;127,2;29,4;0;1,0296;86,64
Produits à base de poissons;Truite d'élevage, fumée;120;205,2;28,08;0;10,38;74,04
Riz et autres graines;Blé dur précuit, grains entiers, cuit;120;186;6,12;36,48;0,792;72,84
Riz et autres graines;Frik (blé dur immature concassé), cuit;120;91,08;2,52;16,68;0,576;95,52
Riz et autres graines;Frik (blé dur immature concassé), sec;120;388,8;10,932;68,04;2,604;13,2
Riz et autres graines;Riz blanc étuvé, cuit;120;181,2;3,492;37,32;1,728;76,2
Riz et autres graines;Riz blanc, cuit;120;162;2,988;34,44;1,1124;79,8
Riz et autres graines;Riz complet, cuit;120;187,2;4,2;38,04;1,32;73,2
Riz et autres graines;Riz complet, sec;120;424,8;8,22;87,96;3,36;14,76
Riz et autres graines;Riz rouge, cuit;120;169,2;4,08;33,84;0,828;75,72
Riz et autres graines;Riz rouge, sec;120;422,4;9,6;84,72;3,6;14,88
Riz et autres graines;Riz sauvage, cuit;120;240;7,8;48,36;0,696;58,56
Riz et autres graines;Riz sauvage, sec;120;412,8;13,32;83,16;1,128;13,8
Soupes et bouillons non reconstitués;Bouillon de boeuf, déshydraté;250;607,5;25,5;51,5;33,25;8,225
Soupes et bouillons non reconstitués;Bouillon de légumes, déshydraté;250;660;24,15;50,75;40;11
Soupes prêtes à consommer;Soupe à la tomate, préemballée à réchauffer ou déshydratée reconstituée;250;115;4,225;18,75;2,2925;225,25
Soupes prêtes à consommer;Soupe à la volaille et aux vermicelles, préemballée à réchauffer ou déshydratée reconstituée;250;41,75;3,175;5,7;0,5375;237,5
Soupes prêtes à consommer;Soupe à l'oignon, tout type;250;55;1,5075;8,2;1,62;235,25
Soupes prêtes à consommer;Soupe au pistou, préemballée à réchauffer ou déshydratée reconstituée;250;118;4,25;17,7;2,925;220,5
Soupes prêtes à consommer;Soupe au potiron, tout type;250;89,25;1,7;10,575;3,95;229,5
Soupes prêtes à consommer;Soupe aux lentilles, tout type;250;123,5;4,5;23,025;0,5;214,25
Soupes prêtes à consommer;Soupe aux poireaux et pommes de terre;250;69,75;2,45;13,1;0,325;229,75
Soupes prêtes à consommer;Soupe aux poireaux et pommes de terre, préemballée à réchauffer;250;85,25;2,45;11,475;2,775;229
Soupes prêtes à consommer;Soupe cuisinée aux champignons, tout type;250;87,75;1,975;5,375;5,7;230,75
Soupes prêtes à consommer;Soupe de légumes, déshydratée reconstituée;250;81;2;6,225;4,975;232,5
Soupes prêtes à consommer;Soupe de légumes, préemballée à réchauffer;250;86,25;4,475;7,575;3,425;228,5
Soupes prêtes à consommer;Soupe de légumes, tout type;250;61,25;2,15;9,675;0,7625;231,5
Soupes prêtes à consommer;Soupe de poissons et/ou crustacés, préemballée à réchauffer;250;138,75;9;14,225;4,725;214,5
Soupes prêtes à consommer;Soupe exotique chinoise;250;99,5;15,375;3,45;2,6;222,25
Soupes prêtes à consommer;Soupe minestrone, préemballée à réchauffer ou déshydratée reconstituée;250;81,5;4,875;12;1;227,25
Viandes;Agneau, collier, cru;150;276;24,6;0;19,8;102
Viandes;Agneau, côte filet, crue;150;348;24,45;0;27,75;93,75
Viandes;Agneau, côte première, crue;150;406,5;23,25;0;34,8;88,35
Viandes;Agneau, côtelette, grillée;150;351;38,55;0;21,9;90,9
Viandes;Agneau, épaule, maigre, rôtie;150;280,5;33,45;0;16,35;97,5
Viandes;Agneau, épaule, rôtie;150;430,5;45,75;0;27,45;80,55
Viandes;Agneau, gigot, cru;150;192;26,7;0;9,435;110,25
Viandes;Agneau, gigot, rôti;150;289,5;35,7;0;16,35;100,65
Viandes;Agneau, selle, crue;150;322,5;24,3;0;25,05;97,05
Viandes;Boeuf, à bourguignon, cuit;150;234;45;0;6,075;91,65
Viandes;Boeuf, à pot0au0feu, cuit;150;360;42,75;0;21;84,75
Viandes;Boeuf, bavette, crue;150;154,5;27,45;0;4,905;110,55
Viandes;Boeuf, bifteck, grillé;150;223,5;41,4;0;6,42;103,65
Viandes;Boeuf, braisé;150;360;48,15;0;18,6;83,55
Viandes;Boeuf, entrecôte, crue;150;340,5;27,6;0;25,5;93,75
Viandes;Boeuf, entrecôte, grillée;150;288;33;0;17,25;93
Viandes;Boeuf, faux0filet, cru;150;175,5;32,4;0;5,055;107,25
Viandes;Boeuf, faux0filet, grillé;150;255;34,5;0;13,05;96
Viandes;Boeuf, flanchet, cuit;150;291;41,4;0;13,965;94,95
Viandes;Boeuf, hampe, crue;150;225;27;0;12,93;107,25
Viandes;Boeuf, joue, crue;150;168;30;0;5,34;109,8
Viandes;Boeuf, macreuse, crue;150;163,5;29,25;0;5,235;111,75
Viandes;Boeuf, paleron, cru;150;208,5;30,15;0;9,795;108,45
Viandes;Boeuf, plat de côtes, cru;150;424,5;26,1;0;35,55;87,15
Viandes;Boeuf, rosbif, rôti;150;210;39,6;0;5,67;99,75
Viandes;Boeuf, tende de tranche, crue;150;174;30,9;0;5,535;112,05
Viandes;Cheval, entrecôte muscle, cru;150;177;33,15;0;5,01;107,25
Viandes;Cheval, faux0filet, cru;150;181,5;33,3;0;5,37;107,25
Viandes;Cheval, tende de tranche, crue;150;159;34,05;0;2,52;107,25
Viandes;Cheval, viande, rôtie;150;240;42,15;0;7,935;96,6
Viandes;Chevreuil, rôti;150;261;48,9;0;7,2;97,5
Viandes;Lapin braisé;150;295,5;45,6;0;12,615;88,2
Viandes;Lapin, viande cuite;150;247,5;30,75;0;13,8;102,3
Viandes;Lièvre, en ragoût;150;304,5;45;0;13,8;91,35
Viandes;Porc, côte, crue;150;261;27,9;0;15,9;103,5
Viandes;Porc, côte, grillée;150;414;38,7;0;28,65;83,55
Viandes;Porc, échine, rôtie;150;453;41,85;0;31,8;72,75
Viandes;Porc, épaule, crue;150;336;25,95;0;24,75;94,5
Viandes;Porc, épaule, cuite;150;379,5;45;0;22,2;83,55
Viandes;Porc, escalope de jambon, crue;150;193,5;32,25;0;7,14;111,6
Viandes;Porc, escalope de jambon, cuite;150;300;54;0;9,33;84
Viandes;Porc, filet mignon, cru;150;183;31,8;0;6,135;112,35
Viandes;Porc, filet mignon, cuit;150;252;39,15;0;10,62;98,1
Viandes;Porc, filet, maigre, cru;150;184,5;31,65;0;6,33;111,9
Viandes;Porc, filet, maigre, en rôti, cuit;150;292,5;41,25;0;14,085;96,45
Viandes;Porc, poitrine, crue;150;388,5;25,35;0;32,1;89,1
Viandes;Porc, rôti carré, cru;150;304,5;51,15;0;11,175;87
Viandes;Porc, rôti, cru;150;216;31,2;0;10,38;107,1
Viandes;Porc, rôti, cuit;150;238,5;35,7;1,65;9;106,95
Viandes;Porc, rouelle de jambon, crue;150;223,5;30,3;0;11,34;102
Viandes;Porc, rouelle de jambon, cuite;150;307,5;44,7;0;14,31;82,05
Viandes;Porc, travers, braisé;150;498;34,65;0;39,9;74,1
Viandes;Porc, travers, cru;150;352,5;26,7;0;27,45;92,4
Viandes;Sanglier, rôti;150;229,5;42,45;0;6,57;95,85
Viandes;Steak haché  5% MG, cru;150;181,5;29,4;0;7,035;110,7
Viandes;Steak haché  5% MG, cuit;150;237;39,45;0;8,775;99
Viandes;Steak haché 10% MG, cru;150;253,5;30,9;0;14,4;105,3
Viandes;Steak haché 10% MG, cuit;150;315;39,15;0;17,55;92,1
Viandes;Steak haché 15% MG, cru;150;298,5;28,05;0;20,4;98,85
Viandes;Steak haché 15% MG, cuit;150;358,5;35,4;0;24,15;88,5
Viandes;Steak haché 20% MG, cru;150;427,5;25,2;0;36,3;87,15
Viandes;Steak haché 20% MG, cuit;150;414;38,7;0;28,8;85,05
Viandes;Veau, collier, cru;150;186;26,7;0;8,88;110,7
Viandes;Veau, côte, crue;150;271,5;24,6;0;19,2;103,35
Viandes;Veau, côte, cuite;150;355,5;37,8;0;22,65;87,6
Viandes;Veau, épaule, crue;150;174;27,75;0;6,945;112,35
Viandes;Veau, escalope, cuite;150;223,5;46,5;0;4,125;97,5
Viandes;Veau, filet, rôti;150;207;42,6;0;4,125;97,65
Viandes;Veau, jarret, cru;150;163,5;28,5;0;5,475;113,1
Viandes;Veau, mijoté;150;297;46,2;0;12,525;90,15
Viandes;Veau, noix, crue;150;153;29,4;0;3,855;113,1
Viandes;Veau, poitrine, crue;150;180;29,25;0;6,945;109,5
Viandes;Veau, rôti;150;180;31,5;0;5,94;114,6
Volailles;Caille, viande et peau, cuite;150;297;37,65;0;16,35;90
Volailles;Canard, magret, cuit à la poêle;150;307,5;40,05;0;16,35;94,35
Volailles;Canard, viande rôtie;150;291;34,95;0;16,8;94,65
Volailles;Dinde, escalope, crue;150;159;35,7;0;1,665;111,3
Volailles;Dinde, escalope, sautée;150;190,5;42,75;0;2,16;99,45
Volailles;Dinde, viande, rôtie;150;241,5;39,6;0;2,61;88,5
Volailles;Faisan, viande, rôtie;150;357;48,6;0;18,15;81,3
Volailles;Oie, viande, rôtie;150;411;43,65;0;26,25;78
Volailles;Pigeon, viande, rôtie;150;319,5;35,85;0;19,5;93
Volailles;Poule, viande et peau, bouillie;150;478,5;38,1;0;36,3;74,25
Volailles;Poule, viande, bouillie;150;343,5;45,6;0;17,85;84,6
Volailles;Poulet, blanc, sans peau, cuit;150;181,5;39,3;0;2,64;108,75
Volailles;Poulet, cuisse, viande et peau, rôti;150;285;39;0;14,355;98,55
Volailles;Poulet, cuisse, viande, bouilli;150;286,5;39,3;0;14,4;96,15
Volailles;Poulet, manchons marinés et rôtis;150;319,5;33,6;3,15;18,9;90,3
Volailles;Poulet, viande et peau, rôti;150;307,5;43,2;0;14,82;89,55
Yaourts et spécialités laitières type yaourts;yaourt 0% aromatisé sucré;125;68,75;5,375;10,5125;0,20375;106,5
Yaourts et spécialités laitières type yaourts;yaourt 0% aux céréales;125;73,5;5,75;8,5875;1,35;107,125
Yaourts et spécialités laitières type yaourts;yaourt 0% aux fruits;125;52,625;5,375;5,5375;0,4;110,375
Yaourts et spécialités laitières type yaourts;yaourt 0%, nature;125;53;5,4125;6,4125;0,38625;110,125
Yaourts et spécialités laitières type yaourts;Yaourt à boire aromatisé;125;105,25;3,35;18,5;1,6;99,75
Yaourts et spécialités laitières type yaourts;Yaourt à boire aux fruits;125;106,625;3,45;17,375;2,2125;99,75
